Trading Day,Month+1,Month+2,Month+3,Month+4,Month+5,Quarter+1,Quarter+2,Quarter+3,Quarter+4
2021-02-08,20.157,18.231,17.746,17.638,17.626,17.87,17.763,18.927,19.481
2021-02-09,19.109,17.854,17.527,17.464,17.44,17.614,17.552,18.755,19.255
2021-02-10,18.581,17.555,17.254,17.246,17.315,17.351,17.387,18.564,19.164
2021-02-11,17.401,16.827,16.599,16.605,16.66,16.676,16.743,17.901,18.544
2021-02-12,17.599,16.922,16.702,16.708,16.701,16.777,16.796,17.964,18.543
2021-02-15,16.568,16.325,16.188,16.26,16.239,16.257,16.344,17.643,18.266
2021-02-16,16.688,16.332,16.184,16.252,16.227,16.259,16.327,17.62,18.282
2021-02-17,16.554,16.256,16.1,16.145,16.136,16.17,16.243,17.555,18.255
2021-02-18,17.356,16.79,16.594,16.616,16.626,16.666,16.726,18.018,18.534
2021-02-19,16.552,16.345,16.168,16.184,16.151,16.232,16.258,17.554,18.171
2021-02-22,15.973,15.88,15.735,15.753,15.74,15.789,15.838,17.196,17.766
2021-02-23,16.258,16.137,15.953,15.988,15.961,16.024,16.07,17.456,18.006
2021-02-24,16.353,16.272,16.115,16.147,16.118,16.177,16.219,17.523,18.158
2021-02-25,15.904,15.87,15.73,15.791,15.772,15.796,15.867,17.27,17.946
2021-02-26,15.722,15.589,15.665,15.696,15.666,15.658,15.745,17.219,17.856
2021-03-01,16.05,15.822,15.864,15.8,15.951,15.914,15.969,17.583,18.056
2021-03-02,15.89,15.685,15.745,15.743,15.792,15.772,15.849,17.401,18.03
2021-03-03,15.558,15.367,15.416,15.462,15.542,15.446,15.588,17.254,18.009
2021-03-04,15.981,15.751,15.825,15.836,15.864,15.851,15.942,17.639,18.264
2021-03-05,16.368,16.232,16.314,16.306,16.425,16.304,16.467,17.921,18.712
2021-03-08,16.155,16.04,16.155,16.191,16.218,16.112,16.288,17.97,18.706
2021-03-09,16.925,16.737,16.786,16.765,16.953,16.815,16.97,18.471,19.148
2021-03-10,17.561,17.411,17.474,17.445,17.543,17.481,17.588,18.989,19.566
2021-03-11,18.138,17.972,18.027,18.029,18.08,18.045,18.125,19.414,19.908
2021-03-12,18.454,18.292,18.367,18.374,18.435,18.37,18.473,19.696,20.339
2021-03-15,17.911,17.829,17.905,17.884,17.998,17.881,18.026,19.43,19.944
2021-03-16,17.66,17.54,17.62,17.612,17.682,17.606,17.733,19.1,19.701
2021-03-17,17.999,17.824,17.892,17.866,17.891,17.904,17.951,19.276,19.812
2021-03-18,17.749,17.614,17.65,17.574,17.645,17.67,17.688,19.056,19.674
2021-03-19,17.262,17.164,17.231,17.276,17.322,17.218,17.379,18.657,19.304
2021-03-22,18.008,17.887,17.918,17.913,17.967,17.937,18.017,19.301,19.843
2021-03-23,18.38,18.194,18.232,18.24,18.262,18.268,18.331,19.525,20.063
2021-03-24,18.568,18.252,18.39,18.364,18.38,18.399,18.453,19.601,20.126
2021-03-25,18.363,18.146,18.196,18.154,18.15,18.234,18.2,19.352,19.884
2021-03-26,18.68,18.429,18.497,18.473,18.408,18.534,18.467,19.587,20.038
2021-03-29,18.445,18.324,18.358,18.284,18.298,18.375,18.331,19.439,19.961
2021-03-30,18.84,18.684,18.681,18.646,18.685,18.697,19.786,20.227,16.857
2021-03-31,18.967,18.924,18.88,18.874,19.006,18.919,19.971,20.337,16.971
2021-04-01,19.159,19.11,19.032,19.027,19.114,19.059,20.091,20.534,16.901
