IMO,Port,Country,Arrival,Departure,In Port
9372743,Ras Laffan Anch., Qatar,"Apr 21, 10:22","-","-"
9372743,Singapore Anch. 1, Singapore,"Apr 12, 09:35","Apr 13, 06:20","20h 45m"
9372743,Ningbo Anch., China,"Apr 3, 03:00","Apr 7, 08:56","4d 5h"
9372743,Pyeongtaek, Korea,"Mar 30, 07:01","Mar 31, 22:44","1d 15h"
9372743,Ras Laffan, Qatar,"Mar 12, 16:09","Mar 14, 05:01","1d 12h"
9388819,Malta Anch., Malta,"Apr 24, 06:30","Apr 24, 22:04","15h 34m"
9388819,As Suways (Suez) Anch., Egypt,"Apr 20, 14:22","Apr 21, 05:07","14h 44m"
9388819,Ras Laffan, Qatar,"Apr 10, 21:01","Apr 12, 17:12","1d 20h"
9388819,Ras Laffan Anch., Qatar,"Apr 10, 03:26","Apr 10, 20:41","17h 14m"
9388819,Gibraltar West Anch., Gibraltar,"Mar 22, 13:10","Mar 23, 02:15","13h 4m"
9388821,Milford Haven, United Kingdom (UK),"Apr 21, 09:53","Apr 22, 19:11","1d 9h"
9388821,Las Palmas (Gr.Canaria) Anch., Spain,"Apr 15, 19:06","-","-"
9388821,Ras Laffan, Qatar,"Mar 22, 11:12","Mar 23, 16:45","1d 5h"
9388821,Ras Laffan Anch., Qatar,"Mar 20, 15:20","Mar 22, 09:44","1d 18h"
9388821,Singapore Anch. 1, Singapore,"Mar 11, 09:43","Mar 12, 07:34","21h 50m"
9418365,Ras Laffan, Qatar,"Apr 25, 06:20","Apr 27, 05:31","1d 23h"
9418365,Ras Laffan Anch., Qatar,"Apr 20, 12:00","Apr 25, 05:56","4d 17h"
9418365,Las Palmas (Gr.Canaria) Anch., Spain,"Mar 29, 13:53","-","-"
9418365,Milford Haven, United Kingdom (UK),"Mar 23, 10:41","Mar 24, 20:17","1d 9h"
9418365,As Suways (Suez) Anch., Egypt,"Mar 13, 08:51","Mar 14, 06:23","21h 31m"
9443401,Singapore Anch. 1, Singapore,"Apr 24, 00:36","Apr 24, 16:10","15h 34m"
9443401,Incheon, Korea,"Apr 15, 23:35","Apr 17, 07:54","1d 8h"
9443401,Ras Laffan, Qatar,"Mar 29, 23:58","Mar 31, 05:31","1d 5h"
9443401,Ras Laffan Anch., Qatar,"Mar 28, 04:48","Mar 29, 23:21","1d 18h"
9443401,Singapore Anch. 1, Singapore,"Mar 18, 17:09","Mar 19, 16:50","23h 40m"
9431214,Ras Laffan, Qatar,"Apr 23, 04:01","Apr 24, 09:09","1d 5h"
9431214,Ras Laffan Anch., Qatar,"Mar 30, 18:25","Apr 23, 01:22","23d 6h"
9431214,Singapore Anch. 1, Singapore,"Mar 21, 04:38","Mar 21, 23:46","19h 8m"
9431214,Pyeongtaek, Korea,"Mar 13, 06:40","Mar 14, 22:47","1d 16h"
9388833,Pyeongtaek, Korea,"Apr 23, 05:17","Apr 24, 22:48","1d 17h"
9388833,Ras Laffan, Qatar,"Apr 6, 16:42","Apr 7, 23:47","1d 7h"
9388833,Ras Laffan Anch., Qatar,"Apr 4, 21:02","Apr 6, 15:50","1d 18h"
9388833,Singapore Anch. 1, Singapore,"Mar 26, 17:22","Mar 27, 11:32","18h 9m"
9388833,Incheon, Korea,"Mar 18, 23:38","Mar 20, 08:20","1d 8h"
9337755,Ras Laffan Anch., Qatar,"Apr 14, 18:18","Apr 15, 10:58","16h 39m"
9337755,Ras Laffan, Qatar,"Apr 12, 18:09","Apr 14, 17:53","1d 23h"
9337755,Ras Laffan Anch., Qatar,"Apr 11, 10:53","Apr 12, 17:45","1d 6h"
9337755,Singapore Anch. 1, Singapore,"Apr 2, 03:18","-","-"
