IMO,Port,Country,Arrival,Departure,In Port
7390181,Jakarta Terminal Anch., Indonesia,"03/10, 03:05","03/11, 09:41",1d 6h
7390181,Jakarta Term., Indonesia,"03/11, 09:53","03/14, 07:43",2d 21h
7390181,Jakarta Anch., Indonesia,"03/14, 08:04","03/21, 08:02",6d 23h
7390181,Jakarta Terminal Anch., Indonesia,"04/03, 02:22",,
7390181,Bontang, Indonesia,"04/07, 15:03","04/10, 06:22",2d 15h
7390181,Jakarta Terminal Anch., Indonesia,"04/14, 00:25","04/19, 00:02",4d 23h
8110203,Sungai Linggi, Malaysia,"02/19, 23:58",,
8608872,Yanai, Japan,"03/06, 02:24","03/07, 01:41",23h 16m
8608872,Dampier Anch., Australia,"03/17, 01:29","03/22, 01:28",4d 23h
8608872,Withnell Bay, Australia,"03/25, 05:56","03/26, 04:11",22h 15m
8608872,Dampier Anch., Australia,"03/26, 05:56","03/29, 06:19",3d
8608872,Sakai, Japan,"04/13, 01:36","04/14, 02:46",1d 1h
8608872,Withnell Bay, Australia,"04/28, 00:51",,
8608872,Dampier Anch., Australia,"04/29, 04:43","05/02, 01:17",2d 20h
8608884,Singapore Anch. 5, Singapore,"02/15, 13:21","02/15, 16:01",2h 39m
8608884,Singapore, Singapore,"02/16, 11:50","02/20, 07:58",3d 20h
8608884,Dampier Anch., Australia,"03/05, 08:14","03/16, 00:10",10d 15h
8608884,Withnell Bay, Australia,"03/16, 02:59","03/17, 04:04",1d 1h
8608884,Oita, Japan,"03/29, 00:37","03/30, 03:54",1d 3h
8608884,Withnell Bay, Australia,"04/19, 00:50","04/20, 04:14",1d 3h
8608884,Yokohama, Japan,"05/04, 02:03","05/05, 06:40",1d 4h
8701791,Nagoya, Japan,"02/16, 01:48","02/17, 00:16",22h 28m
8701791,Taichung, Taiwan,"03/02, 22:44","03/03, 22:42",23h 57m
8701791,Bitung Anch., Indonesia,"03/08, 21:57","03/12, 02:00",3d 4h
8701791,Kokura, Japan,"03/23, 01:25","03/24, 07:17",1d 5h
8701791,Taichung, Taiwan,"04/10, 01:10","04/11, 01:33",1d
8701791,Bitung Anch., Indonesia,"04/14, 23:23","04/16, 20:19",1d 20h
8701791,Dongjiakou, China,"04/28, 23:09","04/30, 00:36",1d 1h
8706155,Bontang, Indonesia,"02/23, 14:30","02/25, 18:19",2d 3h
8706155,Jakarta Term., Indonesia,"03/03, 00:07","03/06, 02:05",3d 1h
8706155,Bontang, Indonesia,"03/23, 22:46","03/25, 16:13",1d 17h
8706155,Jakarta Term., Indonesia,"03/29, 00:28","03/31, 10:50",2d 10h
8706155,Bontang, Indonesia,"04/22, 08:42","04/24, 03:15",1d 18h
8706155,Jakarta Term., Indonesia,"04/27, 00:22",,
8706155,Bontang, Indonesia,"05/08, 09:57",,
8913150,Mizushima, Japan,"02/19, 04:20","02/20, 06:33",1d 2h
8913150,Withnell Bay, Australia,"03/07, 00:22","03/08, 01:15",1d
8913150,Yanai, Japan,"03/20, 02:10","03/21, 02:09",23h 59m
8913150,Singapore Anch. 5, Singapore,"04/03, 04:35","04/04, 01:01",20h 25m
8913150,Singapore, Singapore,"04/04, 03:47",,
9001772,Hongqiao, China,"02/23, 00:47","02/24, 02:38",1d 1h
9001772,Hongqiao, China,"03/07, 23:13","03/09, 01:38",1d 2h
9001772,Bintulu,"Sarawak, Malaysia","03/21, 11:17","03/22, 08:55",21h 38m
9001772,Shanghai, China,"03/30, 05:23","03/31, 03:09",21h 46m
9001772,Hongqiao, China,"04/11, 03:34","04/13, 05:02",2d 1h
9001772,Bintulu,"Sarawak, Malaysia","04/19, 04:23","04/19, 22:05",17h 41m
9001772,Shanghai, China,"04/25, 02:05",,
9001772,Bintulu,"Sarawak, Malaysia","05/01, 07:20","05/02, 05:26",22h 5m
9001772,Hongqiao, China,"05/07, 00:58","05/08, 02:41",1d 1h
9001784,Shanghai, China,"02/17, 07:41","02/18, 05:02",21h 21m
9001784,Shanghai Anch., China,"02/18, 09:48",,
