Date,Prix
2021-02-02,18.394
2021-02-03,18.347
2021-02-04,17.674
2021-02-05,18.227
2021-02-06,18.787
2021-02-07,18.787
2021-02-08,18.94
2021-02-09,20.853
2021-02-10,19.791
2021-02-11,19.598
2021-02-12,18.016
2021-02-13,17.664
2021-02-14,17.664
2021-02-15,17.671
2021-02-16,16.783
2021-02-17,16.532
2021-02-18,16.743
2021-02-19,16.884
2021-02-20,16.625
2021-02-21,16.625
2021-02-22,16.697
2021-02-23,15.841
2021-02-24,16.009
2021-02-25,16.068
2021-02-26,16.077
2021-02-27,15.839
2021-02-28,15.839
2021-03-01,15.885
2021-03-02,16.322
2021-03-03,16.255
2021-03-04,15.915
2021-03-05,16.235
2021-03-06,16.569
2021-03-07,16.569
2021-03-08,16.601
2021-03-09,16.729
2021-03-10,17.103
2021-03-11,17.709
2021-03-12,17.97
2021-03-13,18.353
2021-03-14,18.353
2021-03-15,18.42
2021-03-16,18.564
2021-03-17,17.803
2021-03-18,18.061
2021-03-19,18.347
2021-03-20,17.664
2021-03-21,17.664
2021-03-22,17.737
2021-03-23,18.137
2021-03-24,18.257
2021-03-25,18.662
2021-03-26,18.494
2021-03-27,18.585
2021-03-28,18.585
2021-03-29,18.628
2021-03-30,18.332
2021-03-31,18.607
2021-04-01,19.065
2021-04-02,19.175
2021-04-05,19.175
2021-04-02,19.175
2021-04-05,19.175
2021-04-06,19.245
2021-04-07,20.103
2021-04-08,20.074
2021-04-09,19.75
2021-04-10,19.312
2021-04-11,19.312
2021-04-12,19.476
2021-04-13,20.276
2021-04-14,20.408
2021-04-15,20.338
2021-04-16,20.618
2021-04-17,21.027
2021-04-18,21.027
2021-04-19,21.042
2021-04-20,21.444
2021-04-21,21.275
2021-04-22,21.305
2021-04-23,21.702
2021-04-24,20.265
2021-04-25,20.265
2021-04-26,20.412
2021-04-27,20.534
2021-04-28,21.315
2021-04-29,21.902
2021-04-30,21.902
2021-05-01,23.241
2021-05-02,23.241
2021-05-03,23.241
2021-05-04,23.265
2021-05-05,23.988
2021-05-06,24.365
2021-05-07,25.207
2021-05-08,24.074
2021-05-09,24.074
2021-05-10,24.099
2021-05-11,25.203
2021-05-12,25.632
2021-05-13,26.413
2021-05-14,25.756
2021-05-15,27.046
2021-05-16,27.046
2021-05-17,27.108
2021-05-18,26.66
2021-05-19,25.682
2021-05-20,23.731
2021-05-21,24.399
2021-05-22,25.001
2021-05-23,25.001
2021-05-24,25.035
