Date,Prix US
2021-01-04,2.6
2021-01-05,2.77
2021-01-04,2.6
2021-01-05,2.77
2021-01-06,2.76
2021-01-07,2.81
2021-01-08,2.77
2021-01-11,2.71
2021-01-12,2.89
2021-01-13,2.82
2021-01-14,2.82
2021-01-15,2.86
2021-01-19,2.65
2021-01-20,2.57
2021-01-21,2.49
2021-01-22,2.45
2021-01-25,2.63
2021-01-26,2.73
2021-01-27,2.77
2021-01-28,2.76
2021-01-29,2.68
2021-02-01,2.88
2021-02-02,3.24
2021-02-03,3.01
2021-02-04,2.99
2021-02-05,3.49
2021-02-08,3.4
2021-02-09,3.35
2021-02-10,3.76
2021-02-11,6.5
2021-02-12,6.12
2021-02-16,11.32
2021-02-17,23.86
2021-02-18,8.56
2021-02-19,4.96
2021-02-22,3.16
2021-02-23,2.94
2021-02-24,2.8
2021-02-25,2.72
2021-02-26,2.66
2021-03-01,2.7
2021-03-02,2.87
2021-03-03,2.86
2021-03-04,2.79
2021-03-05,2.72
2021-03-08,2.67
2021-03-09,2.62
2021-03-10,2.62
2021-03-11,2.7
2021-03-12,2.65
2021-03-15,2.58
2021-03-16,2.5
2021-03-17,2.6
2021-03-18,2.45
2021-03-19,2.53
2021-03-22,2.55
2021-03-23,2.56
2021-03-24,2.56
2021-03-25,2.52
2021-03-26,2.52
2021-03-29,2.58
2021-03-30,2.55
2021-03-31,2.52
2021-04-01,2.52
2021-04-05,2.43
2021-04-06,2.44
2021-04-07,2.43
2021-04-08,2.47
2021-04-09,2.48
2021-04-12,2.5
2021-04-13,2.57
2021-04-14,2.65
2021-04-15,2.62
2021-04-16,2.63
2021-04-19,2.75
2021-04-20,2.76
2021-04-21,2.72
2021-04-22,2.77
2021-04-23,2.79
2021-04-26,2.73
2021-04-27,2.91
2021-04-28,2.98
2021-04-29,2.91
2021-04-30,2.86
2021-05-03,2.96
2021-05-04,3.0
2021-05-05,2.99
2021-05-06,2.9
2021-05-07,2.9
2021-05-10,2.93
2021-05-11,2.91
2021-05-12,2.91
2021-05-13,2.95
2021-05-14,2.95
2021-05-17,2.99
2021-05-18,2.96
2021-05-19,2.88
2021-05-20,2.86
2021-05-21,2.84
2021-05-24,2.78
2021-05-25,2.87
2021-05-26,2.91
2021-05-27,2.85
2021-05-28,2.91
2021-06-01,3.02
2021-06-02,3.09
