Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,EUROPE,EUROPE,2021-04-19-14:14,12.1,16.84808 N/58.17114 E,147.0°,17.7 kn,-,2021-03-31,2021-03-26-01:52
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,EG PSD,PortSaid,2021-03-28-16:16,9.1,31.49677 N/32.23072 E,205.0°,0.1 kn,-,2021-03-31,2021-03-31-07:25
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"PYEONGTAEK,S.KOREA","PYEONGTAEK,S.KOREA",2021-03-30-05:05,12.0,36.99857 N/126.78256 E,168.6°,0.0 kn,Moored,2021-03-31,2021-03-31-07:29
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,QATAR,Doha,2021-03-30-14:00,9.5,25.78853 N/51.89557 E,15.7°,0.0 kn,At anchor,2021-03-31,2021-03-31-07:28
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,INDIAN OCEAN,INDIAN OCEAN,2021-04-20-09:09,9.4,16.03169 N/18.23354 W,179.7°,20.2 kn,Under way,2021-03-31,2021-03-31-07:26
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,PGBG SINGAPORE,Singapore,2021-03-28-05:05,12.2,30.84218 N/123.99979 E,193.3°,20.5 kn,Under way,2021-03-31,2021-03-30-21:48
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,PORT SAID,PortSaid,2021-04-04-18:09,9.5,36.14813 N/2.54579 W,91.0°,15.9 kn,Under way,2021-03-31,2021-03-31-07:29
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,CAPE OF GOOD HOPE,CAPE OF GOOD HOPE,2021-04-04-00:01,12.2,21.50264 N/60.35244 E,202.8°,16.0 kn,-,2021-03-31,2021-03-24-01:55
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,SOUTH KOREA,SOUTH KOREA,2021-04-15-21:21,12.1,26.00929 N/51.85962 E,61.0°,16.5 kn,Under way,2021-03-31,2021-03-31-06:26
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,MIDDLE EAST,MIDDLE EAST,2021-04-05-14:00,9.2,3.64489 N/100.24723 E,306.0°,20.2 kn,-,2021-03-31,2021-03-28-03:51
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,TH MTP,MabTapud,2021-03-29-23:23,12.0,12.65261 N/101.15409 E,185.2°,0.0 kn,Moored,2021-03-31,2021-03-31-07:20
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,ATLANTIC OCEAN,ATLANTIC OCEAN,2021-04-06-23:23,12.1,31.6909 N/32.05573 E,319.0°,17.1 kn,-,2021-03-31,2021-03-30-21:07
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,GBMFL,GBMFL,2021-03-29-23:23,11.9,51.69818 N/5.086 W,197.3°,0.0 kn,Moored,2021-03-31,2021-03-31-07:24
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,US EAST COAST,US EAST COAST,2021-04-19-01:00,9.8,34.95231 S/16.85167 E,287.8°,13.9 kn,-,2021-03-31,2021-03-29-16:49
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,PA CTB,Cristobal,2021-04-02-07:00,11.7,24.00078 N/88.73571 W,118.0°,13.9 kn,-,2021-03-31,2021-03-28-11:08
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,AU DRW,Darwin,2021-04-05-23:30,10.0,21.53538 N/120.64262 E,127.8°,16.1 kn,-,2021-03-31,2021-03-30-06:39
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,PA_CTB>JP_CTA,PA_CTB>JP_CTA,2021-04-07-20:00,11.5,8.38108 N/79.44932 W,180.4°,16.4 kn,-,2021-03-31,2021-03-17-01:17
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,PA BLB,Balboa,2021-04-20-19:00,10.0,34.3931 N/139.41111 E,199.3°,19.8 kn,-,2021-03-31,2021-02-26-15:37
