Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Port Said Anch., Egypt",2021-05-02-03:25,"Soroosh Term., Iran",,2021-05-10-17:17,9.4,,349.1°,18.8 kn,Under way,2021-05-09,2021-05-09-08:52
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Gibraltar West Anch., Gibraltar",2021-05-06-08:43,"Port Said, Egypt",,2021-05-10-18:00,9.1,,101.0°,18.2 kn,Under way,2021-05-09,2021-05-08-23:33
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Ras Laffan Anch., Qatar",2021-04-21-10:22,Destination not available,,-,9.0,,352.5°,0.1 kn,At anchor,2021-05-09,2021-05-09-04:20
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Malta Anch., Malta",2021-05-07-17:34,UK,,2021-05-13-22:00,12.2,,263.0°,16.2 kn,Under way,2021-05-09,2021-05-09-06:30
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Ras Laffan, Qatar",2021-04-27-05:31,"Incheon, Korea",,2021-05-12-22:00,12.2,,41.7°,15.9 kn,Under way,2021-05-09,2021-05-09-05:55
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"Algeciras Anch., Spain",2021-05-09-06:01,GIBRALTAR OPL,,2021-05-09-06:06,9.2,,297.2°,0.2 kn,At anchor,2021-05-09,2021-05-09-08:54
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Yangkou, China",2021-05-07-02:17,"Singapore, Singapore",,2021-05-12-20:00,9.3,,205.9°,17.9 kn,Under way,2021-05-09,2021-05-08-20:55
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Port Said Anch., Egypt",2021-05-05-02:44,"Ras Laffan, Qatar",,2021-05-13-15:15,9.4,,140.5°,8.7 kn,-,2021-05-09,2021-05-07-16:18
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Ras Laffan, Qatar",2021-05-05-16:08,BELGIUM,,2021-05-24-22:22,11.7,,123.9°,15.8 kn,-,2021-05-09,2021-05-06-16:42
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Singapore Anch. 1, Singapore",2021-05-02-19:08,MIDDLE EAST,,2021-05-12-02:02,9.3,,318.8°,16.5 kn,Under way,2021-05-09,2021-05-09-05:30
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Incheon, Korea",2021-05-05-07:58,"Singapore, Singapore",,2021-05-11-03:00,9.5,,218.7°,19.0 kn,-,2021-05-09,2021-05-08-15:08
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Ras Laffan, Qatar",2021-05-03-11:22,FAR EAST,,2021-05-22-03:03,12.2,,135.7°,17.0 kn,-,2021-05-09,2021-05-07-11:48
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,"As Suways (Suez) Anch., Egypt",2021-04-29-04:20,MILFORD HAVEN UK,,2021-05-09-08:15,12.0,,261.1°,3.1 kn,Under way,2021-05-09,2021-05-09-08:53
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,"Pena Blanca Anch., Panama",2021-04-28-16:00,"Tokyo, Japan",,2021-05-20-21:00,11.7,,180.4°,17.2 kn,-,2021-05-09,2021-04-29-00:33
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,"Yangkou, China",2021-04-26-22:29,"Balboa, Panama",,2021-05-25-00:01,9.7,,98.6°,10.9 kn,-,2021-05-09,2021-04-27-01:42
