,IMO,Dport,Dcountry,Dtime,Aport,Acountry,Atime,D_NA,A_NA,D_SA,A_SA,D_AS,A_AS,D_OC,A_OC,D_AF,A_AF,D_EU,A_EU,Eur_Spot_0,Eur_Spot_-3,Eur_Spot_-6,Eur_Spot_-9,Eur_Spot_-12,US_Spot_0,US_Spot_-3,US_Spot_-6,US_Spot_-9,US_Spot_-12,Asia_Fut_0,Asia_Fut_-3,Asia_Fut_-6,Asia_Fut_-9,Asia_Fut_-12,Eur_Fut_0,Eur_Fut_-3,Eur_Fut_-6,Eur_Fut_-9,Eur_Fut_-12
0,7390181,Jakarta Terminal Anch., Indonesia,2021-03-10,Jakarta Term., Indonesia,2021-03-11,0,0,0,0,1,1,0,0,0,0,0,0,17.102999999999998,16.569000000000003,15.915,15.885,16.077,2.62,2.67,2.79,2.7,2.66,9.06,9.06,9.06,9.06,9.06,17.561,16.155,15.981,16.05,15.722000000000001
1,7390181,Jakarta Term., Indonesia,2021-03-11,Jakarta Anch., Indonesia,2021-03-14,0,0,0,0,1,1,0,0,0,0,0,0,17.709,16.601,16.235,16.322,15.839,2.7,2.67,2.72,2.87,2.66,9.06,9.06,9.06,9.06,9.06,18.137999999999998,16.155,16.368,15.89,15.722000000000001
2,7390181,Jakarta Anch., Indonesia,2021-03-14,Jakarta Terminal Anch., Indonesia,2021-04-03,0,0,0,0,1,1,0,0,0,0,0,0,18.352999999999998,17.709,16.601,16.235,16.322,2.58,2.7,2.67,2.72,2.87,9.06,9.06,9.06,9.06,9.06,17.910999999999998,18.137999999999998,16.155,16.368,15.89
3,7390181,Jakarta Terminal Anch., Indonesia,2021-04-03,Bontang, Indonesia,2021-04-07,0,0,0,0,1,1,0,0,0,0,0,0,19.175,18.607,18.585,18.662,17.737000000000002,2.52,2.52,2.58,2.52,2.55,9.06,9.06,9.06,9.06,9.06,19.159000000000002,18.967,18.445,18.363,18.008
4,7390181,Bontang, Indonesia,2021-04-07,Jakarta Terminal Anch., Indonesia,2021-04-14,0,0,0,0,1,1,0,0,0,0,0,0,20.102999999999998,19.175,19.065,18.628,18.494,2.43,2.43,2.52,2.58,2.52,9.06,9.06,9.06,9.06,9.06,19.303,19.794,19.159000000000002,18.445,18.68
5,8608872,Yanai, Japan,2021-03-06,Dampier Anch., Australia,2021-03-17,0,0,0,0,1,0,0,1,0,0,0,0,16.569000000000003,16.255,15.839,16.067999999999998,16.697,2.72,2.86,2.7,2.72,3.16,9.06,9.06,9.06,9.06,9.06,16.368,15.558,16.05,15.904000000000002,15.972999999999999
6,8608872,Dampier Anch., Australia,2021-03-17,Withnell Bay, Australia,2021-03-25,0,0,0,0,0,0,1,1,0,0,0,0,17.803,18.352999999999998,17.709,16.601,16.235,2.6,2.58,2.7,2.67,2.72,9.06,9.06,9.06,9.06,9.06,17.999000000000002,17.910999999999998,18.137999999999998,16.155,16.368
7,8608872,Withnell Bay, Australia,2021-03-25,Dampier Anch., Australia,2021-03-26,0,0,0,0,0,0,1,1,0,0,0,0,18.662,17.737000000000002,18.347,18.564,18.352999999999998,2.52,2.55,2.53,2.5,2.65,9.06,9.06,9.06,9.06,9.06,18.363,18.008,17.262,17.66,18.454
8,8608872,Dampier Anch., Australia,2021-03-26,Sakai, Japan,2021-04-13,0,0,0,0,0,1,1,0,0,0,0,0,18.494,18.137,17.664,17.803,18.352999999999998,2.52,2.56,2.53,2.6,2.58,9.06,9.06,9.06,9.06,9.06,18.68,18.38,17.262,17.999000000000002,17.910999999999998
9,8608884,Singapore Anch. 5, Singapore,2021-02-15,Singapore, Singapore,2021-02-16,0,0,0,0,1,1,0,0,0,0,0,0,17.671,18.016,20.853,18.787,18.347,11.32,6.12,3.35,3.49,3.01,9.06,9.06,9.06,9.06,9.06,16.567999999999998,17.599,19.109,20.157,20.157
10,8608884,Singapore, Singapore,2021-02-16,Singapore, Singapore,2021-02-18,0,0,0,0,1,1,0,0,0,0,0,0,16.783,17.664,19.791,18.787,17.674,11.32,6.12,3.76,3.4,2.99,9.06,9.06,9.06,9.06,9.06,16.688,17.599,18.581,20.157,20.157
11,8608884,Singapore, Singapore,2021-02-18,Dampier Anch., Australia,2021-03-05,0,0,0,0,1,0,0,1,0,0,0,0,16.743,17.671,18.016,20.853,18.787,8.56,11.32,6.12,3.35,3.49,9.06,9.06,9.06,9.06,9.06,17.355999999999998,16.567999999999998,17.599,19.109,20.157
12,8608884,Dampier Anch., Australia,2021-03-05,Withnell Bay, Australia,2021-03-16,0,0,0,0,0,0,1,1,0,0,0,0,16.235,16.322,15.839,16.009,16.625,2.72,2.87,2.66,2.8,3.16,9.06,9.06,9.06,9.06,9.06,16.368,15.89,15.722000000000001,16.352999999999998,15.972999999999999
13,8608884,Withnell Bay, Australia,2021-03-16,Oita, Japan,2021-03-29,0,0,0,0,0,1,1,0,0,0,0,0,18.564,18.352999999999998,17.102999999999998,16.569000000000003,15.915,2.5,2.65,2.62,2.67,2.79,9.06,9.06,9.06,9.06,9.06,17.66,18.454,17.561,16.155,15.981
14,8608884,Oita, Japan,2021-03-29,Withnell Bay, Australia,2021-04-19,0,0,0,0,1,0,0,1,0,0,0,0,18.628,18.494,18.137,17.664,17.803,2.58,2.52,2.56,2.53,2.6,9.06,9.06,9.06,9.06,9.06,18.445,18.68,18.38,17.262,17.999000000000002
15,8701791,Nagoya, Japan,2021-02-16,Taichung, Taiwan,2021-03-02,0,0,0,0,1,1,0,0,0,0,0,0,16.783,17.664,19.791,18.787,17.674,11.32,6.12,3.76,3.4,2.99,9.06,9.06,9.06,9.06,9.06,16.688,17.599,18.581,20.157,20.157
16,8701791,Taichung, Taiwan,2021-03-02,Bitung Anch., Indonesia,2021-03-08,0,0,0,0,1,1,0,0,0,0,0,0,16.322,15.839,16.009,16.625,16.743,2.87,2.66,2.8,3.16,8.56,9.06,9.06,9.06,9.06,9.06,15.89,15.722000000000001,16.352999999999998,15.972999999999999,17.355999999999998
17,8701791,Bitung Anch., Indonesia,2021-03-08,Kokura, Japan,2021-03-23,0,0,0,0,1,1,0,0,0,0,0,0,16.601,16.235,16.322,15.839,16.009,2.67,2.72,2.87,2.66,2.8,9.06,9.06,9.06,9.06,9.06,16.155,16.368,15.89,15.722000000000001,16.352999999999998
18,8701791,Kokura, Japan,2021-03-23,Taichung, Taiwan,2021-04-10,0,0,0,0,1,1,0,0,0,0,0,0,18.137,17.664,17.803,18.352999999999998,17.709,2.56,2.53,2.6,2.58,2.7,9.06,9.06,9.06,9.06,9.06,18.38,17.262,17.999000000000002,17.910999999999998,18.137999999999998
19,8701791,Taichung, Taiwan,2021-04-10,Bitung Anch., Indonesia,2021-04-14,0,0,0,0,1,1,0,0,0,0,0,0,19.312,20.102999999999998,19.175,19.065,18.628,2.48,2.43,2.43,2.52,2.58,9.06,9.06,9.06,9.06,9.06,18.942999999999998,19.303,19.794,19.159000000000002,18.445
20,8706155,Bontang, Indonesia,2021-02-25,Bontang, Indonesia,2021-02-23,0,0,0,0,1,1,0,0,0,0,0,0,16.067999999999998,16.697,16.884,16.783,17.664,2.72,3.16,4.96,11.32,6.12,9.06,9.06,9.06,9.06,9.06,15.904000000000002,15.972999999999999,16.552,16.688,17.599
21,8706155,Bontang, Indonesia,2021-02-23,Jakarta Term., Indonesia,2021-03-03,0,0,0,0,1,1,0,0,0,0,0,0,15.841,16.625,16.532,17.664,19.598,2.94,4.96,23.86,6.12,6.5,9.06,9.06,9.06,9.06,9.06,16.258,16.552,16.554000000000002,16.567999999999998,17.401
22,8706155,Jakarta Term., Indonesia,2021-03-03,Bontang, Indonesia,2021-03-23,0,0,0,0,1,1,0,0,0,0,0,0,16.255,15.839,16.067999999999998,16.697,16.884,2.86,2.7,2.72,3.16,4.96,9.06,9.06,9.06,9.06,9.06,15.558,16.05,15.904000000000002,15.972999999999999,16.552
23,8706155,Bontang, Indonesia,2021-03-23,Jakarta Term., Indonesia,2021-03-29,0,0,0,0,1,1,0,0,0,0,0,0,18.137,17.664,17.803,18.352999999999998,17.709,2.56,2.53,2.6,2.58,2.7,9.06,9.06,9.06,9.06,9.06,18.38,17.262,17.999000000000002,17.910999999999998,18.137999999999998
24,8706155,Jakarta Term., Indonesia,2021-03-29,Bontang, Indonesia,2021-04-22,0,0,0,0,1,1,0,0,0,0,0,0,18.628,18.494,18.137,17.664,17.803,2.58,2.52,2.56,2.53,2.6,9.06,9.06,9.06,9.06,9.06,18.445,18.68,18.38,17.262,17.999000000000002
25,8913150,Mizushima, Japan,2021-02-19,Withnell Bay, Australia,2021-03-07,0,0,0,0,1,0,0,1,0,0,0,0,16.884,16.783,17.664,19.791,18.787,4.96,11.32,6.12,3.76,3.4,9.06,9.06,9.06,9.06,9.06,16.552,16.688,17.599,18.581,20.157
26,8913150,Withnell Bay, Australia,2021-03-07,Yanai, Japan,2021-03-20,0,0,0,0,0,1,1,0,0,0,0,0,16.569000000000003,15.915,15.885,16.077,15.841,2.67,2.79,2.7,2.66,2.94,9.06,9.06,9.06,9.06,9.06,16.155,15.981,16.05,15.722000000000001,16.258
27,8913150,Yanai, Japan,2021-03-20,Singapore Anch. 5, Singapore,2021-04-03,0,0,0,0,1,1,0,0,0,0,0,0,17.664,17.803,18.352999999999998,17.709,16.601,2.53,2.6,2.58,2.7,2.67,9.06,9.06,9.06,9.06,9.06,17.262,17.999000000000002,17.910999999999998,18.137999999999998,16.155
28,8913150,Singapore Anch. 5, Singapore,2021-04-03,Singapore, Singapore,2021-04-04,0,0,0,0,1,1,0,0,0,0,0,0,19.175,18.607,18.585,18.662,17.737000000000002,2.52,2.52,2.58,2.52,2.55,9.06,9.06,9.06,9.06,9.06,19.159000000000002,18.967,18.445,18.363,18.008
29,9001772,Hongqiao, China,2021-02-23,Hongqiao, China,2021-03-07,0,0,0,0,1,1,0,0,0,0,0,0,15.841,16.625,16.532,17.664,19.598,2.94,4.96,23.86,6.12,6.5,9.06,9.06,9.06,9.06,9.06,16.258,16.552,16.554000000000002,16.567999999999998,17.401
30,9001772,Hongqiao, China,2021-03-07,"Bintulu,Sarawak", Malaysia,2021-03-21,0,0,0,0,1,1,0,0,0,0,0,0,16.569000000000003,15.915,15.885,16.077,15.841,2.67,2.79,2.7,2.66,2.94,9.06,9.06,9.06,9.06,9.06,16.155,15.981,16.05,15.722000000000001,16.258
31,9001772,"Bintulu,Sarawak", Malaysia,2021-03-21,Shanghai, China,2021-03-30,0,0,0,0,1,1,0,0,0,0,0,0,17.664,18.061,18.42,17.97,16.729,2.55,2.45,2.58,2.65,2.62,9.06,9.06,9.06,9.06,9.06,18.008,17.749000000000002,17.910999999999998,18.454,16.925
32,9001772,Shanghai, China,2021-03-30,Hongqiao, China,2021-04-11,0,0,0,0,1,1,0,0,0,0,0,0,18.332,18.585,18.257,17.664,18.061,2.55,2.52,2.56,2.55,2.45,9.06,9.06,9.06,9.06,9.06,18.84,18.68,18.567999999999998,18.008,17.749000000000002
33,9001772,Hongqiao, China,2021-04-11,"Bintulu,Sarawak", Malaysia,2021-04-19,0,0,0,0,1,1,0,0,0,0,0,0,19.312,20.074,19.175,19.175,18.332,2.5,2.47,2.43,2.52,2.55,9.06,9.06,9.06,9.06,9.06,19.651,19.03,19.794,19.159000000000002,18.84
