Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,QATAR,"Mar 20, 19:07",9.3,26.62388 N/56.42376 E,258.0°, 17.0 kn,2021-03-19,"Mar 19, 2021 21:10 UTC"
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,GI GIB,"Mar 22, 05:06",9.0,48.70544 N/7.56274 W,197.0°, 18.5 kn,2021-03-19,"Mar 19, 2021 20:59 UTC"
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"PYEONGTAEK,S.KOREA","Mar 29, 21:00",12.0,26.48562 N/56.34043 E,59.0°, 18.6 kn,2021-03-19,"Mar 14, 2021 19:16 UTC"
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,SINGAPORE PGBG,"Mar 21, 04:04",9.5,36.92119 N/126.07111 E,209.1°, 15.0 kn,2021-03-19,"Mar 15, 2021 01:33 UTC"
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,QA RLF>GB MLF,"Mar 23, 00:01",12.0,37.43604 N/9.60186 W,348.7°, 18.0 kn,2021-03-19,"Mar 19, 2021 21:13 UTC"
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,FAR EAST,"Mar 27, 21:11",12.2,21.60446 N/61.90823 E,144.9°, 19.0 kn,2021-03-19,"Mar 14, 2021 09:03 UTC"
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,UK>MLF,"Mar 26, 01:01",12.2,34.41576 N/23.85961 E,285.3°, 17.4 kn,2021-03-19,"Mar 18, 2021 22:44 UTC"
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,QATAR RASLAFFAN,"Mar 21, 03:00",9.4,26.33114 N/55.2936 E,256.4°, 18.9 kn,2021-03-19,"Mar 19, 2021 21:08 UTC"
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,QATAR,"Mar 28, 21:21",9.5,1.68326 N/102.78734 E,296.0°, 20.6 kn,2021-03-19,"Mar 19, 2021 20:47 UTC"
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,INCHON,"Mar 18, 22:22",12.1,37.31862 N/126.45577 E,64.2°, 13.2 kn,2021-03-19,"Mar 18, 2021 23:03 UTC"
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,QA RLF>TH MTP,"Mar 29, 23:00",12.0,26.10133 N/55.31133 E,79.3°, 18.7 kn,2021-03-19,"Mar 19, 2021 17:59 UTC"
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,RED SEA,"Mar 22, 20:20",12.1,24.38602 N/58.16244 E,109.9°, 18.0 kn,2021-03-19,"Mar 16, 2021 10:11 UTC"
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,MILFORD HAVEN UK,"Mar 28, 00:00",12.0,31.53485 N/32.23967 E,301.3°, 16.0 kn,2021-03-19,"Mar 19, 2021 17:35 UTC"
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,US EAST COAST,"Apr 19, 01:00",9.8,51.90067 N/4.41408 E,250.6°, 0.5 kn,2021-03-19,"Mar 18, 2021 18:07 UTC"
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,US FPO,"Mar 25, 11:00",9.5,25.62232 N/94.44688 W,88.0°, 14.4 kn,2021-03-19,"Mar 19, 2021 20:58 UTC"
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,AU DRW,"Mar 21, 20:30",9.9,22.13608 N/120.16276 E,168.4°, 14.8 kn,2021-03-19,"Mar 14, 2021 06:32 UTC"
