IMO,Dport,Dcountry,Dtime,Aport,Acountry,Atime
7390181,Jakarta Terminal Anch., Indonesia,"03/10, 03:05",Jakarta Term., Indonesia,"03/11, 09:53"
7390181,Jakarta Term., Indonesia,"03/11, 09:53",Jakarta Anch., Indonesia,"03/14, 08:04"
7390181,Jakarta Anch., Indonesia,"03/14, 08:04",Jakarta Terminal Anch., Indonesia,"04/03, 02:22"
7390181,Jakarta Terminal Anch., Indonesia,"04/03, 02:22",Bontang, Indonesia,"04/07, 15:03"
7390181,Bontang, Indonesia,"04/07, 15:03",Jakarta Terminal Anch., Indonesia,"04/14, 00:25"
8608872,Yanai, Japan,"03/06, 02:24",Dampier Anch., Australia,"03/17, 01:29"
8608872,Dampier Anch., Australia,"03/17, 01:29",Withnell Bay, Australia,"03/25, 05:56"
8608872,Withnell Bay, Australia,"03/25, 05:56",Dampier Anch., Australia,"03/26, 05:56"
8608872,Dampier Anch., Australia,"03/26, 05:56",Sakai, Japan,"04/13, 01:36"
8608884,Singapore Anch. 5, Singapore,"02/15, 13:21",Singapore, Singapore,"02/16, 11:50"
8608884,Singapore, Singapore,"02/16, 11:50",Singapore, Singapore,"02/18, 03:52"
8608884,Singapore, Singapore,"02/18, 03:52",Dampier Anch., Australia,"03/05, 08:14"
8608884,Dampier Anch., Australia,"03/05, 08:14",Withnell Bay, Australia,"03/16, 02:59"
8608884,Withnell Bay, Australia,"03/16, 02:59",Oita, Japan,"03/29, 00:37"
8608884,Oita, Japan,"03/29, 00:37",Withnell Bay, Australia,"04/19, 00:50"
8701791,Nagoya, Japan,"02/16, 01:48",Taichung, Taiwan,"03/02, 22:44"
8701791,Taichung, Taiwan,"03/02, 22:44",Bitung Anch., Indonesia,"03/08, 21:57"
8701791,Bitung Anch., Indonesia,"03/08, 21:57",Kokura, Japan,"03/23, 01:25"
8701791,Kokura, Japan,"03/23, 01:25",Taichung, Taiwan,"04/10, 01:10"
8701791,Taichung, Taiwan,"04/10, 01:10",Bitung Anch., Indonesia,"04/14, 23:23"
8706155,Bontang, Indonesia,"02/25, 18:19",Bontang, Indonesia,"02/23, 14:30"
8706155,Bontang, Indonesia,"02/23, 14:30",Jakarta Term., Indonesia,"03/03, 00:07"
8706155,Jakarta Term., Indonesia,"03/03, 00:07",Bontang, Indonesia,"03/23, 22:46"
8706155,Bontang, Indonesia,"03/23, 22:46",Jakarta Term., Indonesia,"03/29, 00:28"
8706155,Jakarta Term., Indonesia,"03/29, 00:28",Bontang, Indonesia,"04/22, 08:42"
8913150,Mizushima, Japan,"02/19, 04:20",Withnell Bay, Australia,"03/07, 00:22"
8913150,Withnell Bay, Australia,"03/07, 00:22",Yanai, Japan,"03/20, 02:10"
8913150,Yanai, Japan,"03/20, 02:10",Singapore Anch. 5, Singapore,"04/03, 04:35"
8913150,Singapore Anch. 5, Singapore,"04/03, 04:35",Singapore, Singapore,"04/04, 03:47"
9001772,Hongqiao, China,"02/23, 00:47",Hongqiao, China,"03/07, 23:13"
9001772,Hongqiao, China,"03/07, 23:13",Bintulu,"Sarawak, Malaysia","03/21, 11:17"
9001772,Bintulu,"Sarawak, Malaysia","03/21, 11:17",Shanghai, China,"03/30, 05:23"
9001772,Shanghai, China,"03/30, 05:23",Hongqiao, China,"04/11, 03:34"
9001772,Hongqiao, China,"04/11, 03:34",Bintulu,"Sarawak, Malaysia","04/19, 04:23"
9001772,Bintulu,"Sarawak, Malaysia","04/19, 04:23",Shanghai, China,"04/25, 02:05"
9001784,Shanghai, China,"02/17, 07:41",Shanghai Anch., China,"02/18, 09:48"
9001784,Shanghai Anch., China,"02/18, 09:48",Bintulu,"Sarawak, Malaysia","02/26, 12:45"
9001784,Bintulu,"Sarawak, Malaysia","02/26, 12:45",Shanghai, China,"03/04, 07:18"
9001784,Shanghai, China,"03/04, 07:18",Shanghai, China,"03/19, 06:36"
9001784,Shanghai, China,"03/19, 06:36",Shanghai, China,"04/15, 06:01"
9001784,Shanghai, China,"04/15, 06:01",Shanghai Anch., China,"04/16, 08:05"
9001784,Shanghai Anch., China,"04/16, 08:05",Bintulu,"Sarawak, Malaysia","04/23, 04:21"
9016492,Macun, China,"03/01, 09:19",Dongguan, China,"03/14, 06:05"
9016492,Dongguan, China,"03/14, 06:05",Macun, China,"03/25, 22:30"
9016492,Macun, China,"03/25, 22:30",Macun, China,"04/05, 04:30"
9016492,Macun, China,"04/05, 04:30",Yangpu Anch., China,"04/06, 08:40"
9016492,Yangpu Anch., China,"04/06, 08:40",Bintulu,"Sarawak, Malaysia","04/22, 07:13"
9018555,Incheon, Korea,"02/24, 04:22",Anjeong, Korea,"03/14, 03:59"
9018555,Anjeong, Korea,"03/14, 03:59",Anjeong, Korea,"03/31, 04:36"
9018555,Anjeong, Korea,"03/31, 04:36",Oita, Japan,"04/19, 00:51"
9030802,Bintulu,"Sarawak, Malaysia","02/27, 03:02",Sakaide, Japan,"03/06, 05:06"
9030802,Sakaide, Japan,"03/06, 05:06",Kitakyushu, Japan,"03/24, 01:52"
9030802,Kitakyushu, Japan,"03/24, 01:52",Anegasaki, Japan,"04/13, 03:14"
9030814,Nagoya, Japan,"02/28, 04:58",Boryeong, Korea,"03/16, 01:27"
9030814,Boryeong, Korea,"03/16, 01:27",Bintulu,"Sarawak, Malaysia","03/23, 03:48"
9030814,Bintulu,"Sarawak, Malaysia","03/23, 03:48",Mab Tapud, Thailand,"03/26, 23:16"
9030814,Mab Tapud, Thailand,"03/26, 23:16",Hongqiao, China,"04/16, 06:13"
9030826,Bintulu,"Sarawak, Malaysia","02/13, 01:47",Yokohama, Japan,"02/21, 03:08"
9030826,Yokohama, Japan,"02/21, 03:08",Yokkaichi, Japan,"03/07, 06:33"
9030826,Yokkaichi, Japan,"03/07, 06:33",Nagoya, Japan,"04/03, 00:47"
9030826,Nagoya, Japan,"04/03, 00:47",Bintulu,"Sarawak, Malaysia","04/18, 04:44"
9030838,Nagoya Anch., Japan,"02/26, 23:53",Nagoya, Japan,"02/27, 06:36"
9030838,Nagoya, Japan,"02/27, 06:36",Anjeong, Korea,"03/18, 01:09"
9030838,Anjeong, Korea,"03/18, 01:09",Okpo Anch., Korea,"03/19, 03:40"
9030838,Okpo Anch., Korea,"03/19, 03:40",Incheon, Korea,"04/02, 02:07"
9030838,Incheon, Korea,"04/02, 02:07",Yokkaichi, Japan,"04/21, 05:22"
9035852,Al Fujayrah Anch., United Arab Emirates (UAE),"03/17, 05:54",Das Island Anch., United Arab Emirates (UAE),"03/21, 05:31"
9035852,Das Island Anch., United Arab Emirates (UAE),"03/21, 05:31",Das Island, United Arab Emirates (UAE),"03/22, 04:28"
9035852,Das Island, United Arab Emirates (UAE),"03/22, 04:28",Dahej, India,"04/01, 00:00"
9035852,Dahej, India,"04/01, 00:00",Al Fujayrah Anch., United Arab Emirates (UAE),"04/06, 04:53"
9035864,Shenzhen, China,"03/04, 14:54",Pasir Gudang,"Johor Anch., Malaysia","03/21, 01:54"
9035864,Pasir Gudang,"Johor Anch., Malaysia","03/21, 01:54",Al Fujayrah Anch., United Arab Emirates (UAE),"04/02, 07:32"
9035864,Al Fujayrah Anch., United Arab Emirates (UAE),"04/02, 07:32",Das Island Anch., United Arab Emirates (UAE),"04/09, 08:59"
9035864,Das Island Anch., United Arab Emirates (UAE),"04/09, 08:59",Das Island, United Arab Emirates (UAE),"04/11, 15:11"
9035864,Das Island, United Arab Emirates (UAE),"04/11, 15:11",Al Fujayrah Anch., United Arab Emirates (UAE),"04/15, 13:21"
9038440,Kalba Anch., United Arab Emirates (UAE),"03/15, 01:37",Al Fujayrah Anch., United Arab Emirates (UAE),"03/16, 20:10"
9038440,Al Fujayrah Anch., United Arab Emirates (UAE),"03/16, 20:10",Das Island Anch., United Arab Emirates (UAE),"03/31, 13:05"
9038440,Das Island Anch., United Arab Emirates (UAE),"03/31, 13:05",Das Island, United Arab Emirates (UAE),"04/09, 22:33"
9038440,Das Island, United Arab Emirates (UAE),"04/09, 22:33",Al Fujayrah Anch., United Arab Emirates (UAE),"04/12, 20:37"
9038452,Das Island, United Arab Emirates (UAE),"02/12, 19:28",Kawasaki, Japan,"03/03, 05:55"
9038452,Kawasaki, Japan,"03/03, 05:55",Shenzhen, China,"03/11, 08:42"
9038816,Gladstone, Australia,"02/13, 16:44",Incheon, Korea,"02/27, 03:45"
9038816,Incheon, Korea,"02/27, 03:45",Gladstone, Australia,"03/13, 14:56"
9038816,Gladstone, Australia,"03/13, 14:56",Pyeongtaek, Korea,"03/27, 05:00"
9038816,Pyeongtaek, Korea,"03/27, 05:00",Gladstone, Australia,"04/09, 01:10"
9038816,Gladstone, Australia,"04/09, 01:10",Incheon, Korea,"04/23, 06:19"
9043677,Singapore Anch. 3, Singapore,"03/15, 06:14",Singapore, Singapore,"03/16, 00:29"
9043677,Singapore, Singapore,"03/16, 00:29",Singapore Anch. 3, Singapore,"03/19, 05:38"
9045132,Anegasaki, Japan,"03/03, 05:40",Withnell Bay, Australia,"03/14, 04:45"
9045132,Withnell Bay, Australia,"03/14, 04:45",Sakai, Japan,"03/25, 01:33"
9045132,Sakai, Japan,"03/25, 01:33",Withnell Bay, Australia,"04/05, 07:56"
9045132,Withnell Bay, Australia,"04/05, 07:56",Dampier Anch., Australia,"04/07, 12:20"
9045132,Dampier Anch., Australia,"04/07, 12:20",Mizushima, Japan,"04/19, 01:57"
9060534,Bontang, Indonesia,"02/20, 13:05",Singapore Anch. 1, Singapore,"03/06, 04:37"
9060534,Singapore Anch. 1, Singapore,"03/06, 04:37",Batu Ampar Anch., Indonesia,"03/13, 02:14"
9060534,Batu Ampar Anch., Indonesia,"03/13, 02:14",Batam, Indonesia,"03/15, 05:41"
9061928,Gladstone, Australia,"02/20, 08:41",Anjeong, Korea,"03/06, 03:43"
9061928,Anjeong, Korea,"03/06, 03:43",Gladstone, Australia,"03/21, 21:02"
9061928,Gladstone, Australia,"03/21, 21:02",Incheon, Korea,"04/04, 03:26"
9061928,Incheon, Korea,"04/04, 03:26",Gladstone, Australia,"04/18, 05:50"
9064073,Dapeng, China,"02/27, 06:30",Bontang, Indonesia,"03/14, 13:16"
9064073,Bontang, Indonesia,"03/14, 13:16",Dapeng, China,"03/23, 06:23"
9064073,Dapeng, China,"03/23, 06:23",Bontang, Indonesia,"03/31, 23:05"
9064073,Bontang, Indonesia,"03/31, 23:05",Dapeng, China,"04/11, 03:29"
9064073,Dapeng, China,"04/11, 03:29",Pasir Gudang,"Johor Anch., Malaysia","04/22, 04:06"
9064073,Pasir Gudang,"Johor Anch., Malaysia","04/22, 04:06",Pasir Gudang,"Johor, Malaysia","04/23, 01:19"
9064085,Pasir Gudang,"Johor Anch., Malaysia","04/17, 22:57",Pasir Gudang,"Johor, Malaysia","04/20, 07:53"
9074626,Das Island, United Arab Emirates (UAE),"03/11, 10:12",Dahej, India,"03/19, 01:14"
9074626,Dahej, India,"03/19, 01:14",Al Fujayrah Anch., United Arab Emirates (UAE),"03/24, 03:35"
9074626,Al Fujayrah Anch., United Arab Emirates (UAE),"03/24, 03:35",Das Island, United Arab Emirates (UAE),"04/01, 08:05"
9074626,Das Island, United Arab Emirates (UAE),"04/01, 08:05",Dahej, India,"04/08, 20:42"
9074626,Dahej, India,"04/08, 20:42",Al Fujayrah Anch., United Arab Emirates (UAE),"04/14, 03:26"
9074626,Al Fujayrah Anch., United Arab Emirates (UAE),"04/14, 03:26",Das Island Anch., United Arab Emirates (UAE),"04/17, 21:49"
9074626,Das Island Anch., United Arab Emirates (UAE),"04/17, 21:49",Das Island, United Arab Emirates (UAE),"04/19, 21:26"
9074638,Das Island Anch., United Arab Emirates (UAE),"03/17, 04:40",Das Island, United Arab Emirates (UAE),"03/17, 07:38"
9074638,Das Island, United Arab Emirates (UAE),"03/17, 07:38",Gaolan, China,"04/05, 03:46"
9074638,Gaolan, China,"04/05, 03:46",Pasir Gudang,"Johor Anch., Malaysia","04/10, 02:35"
9074638,Pasir Gudang,"Johor Anch., Malaysia","04/10, 02:35",Singapore Anch. 1, Singapore,"04/10, 14:45"
9074638,Singapore Anch. 1, Singapore,"04/10, 14:45",Shanghai, China,"04/18, 10:11"
9074640,Al Fujayrah Anch., United Arab Emirates (UAE),"03/16, 05:52",Das Island Anch., United Arab Emirates (UAE),"03/24, 13:12"
9074640,Das Island Anch., United Arab Emirates (UAE),"03/24, 13:12",Das Island, United Arab Emirates (UAE),"03/26, 09:15"
9074640,Das Island, United Arab Emirates (UAE),"03/26, 09:15",Dabhol Port, India,"04/02, 03:47"
9074640,Dabhol Port, India,"04/02, 03:47",Al Fujayrah Anch., United Arab Emirates (UAE),"04/07, 05:55"
9074640,Al Fujayrah Anch., United Arab Emirates (UAE),"04/07, 05:55",Das Island Anch., United Arab Emirates (UAE),"04/14, 08:05"
9074640,Das Island Anch., United Arab Emirates (UAE),"04/14, 08:05",Das Island, United Arab Emirates (UAE),"04/15, 04:19"
9074652,Das Island, United Arab Emirates (UAE),"02/22, 07:57",Kisarazu, Japan,"03/11, 01:48"
9074652,Kisarazu, Japan,"03/11, 01:48",Al Fujayrah Anch., United Arab Emirates (UAE),"03/31, 03:16"
9074652,Al Fujayrah Anch., United Arab Emirates (UAE),"03/31, 03:16",Das Island Anch., United Arab Emirates (UAE),"04/04, 03:22"
9074652,Das Island Anch., United Arab Emirates (UAE),"04/04, 03:22",Das Island, United Arab Emirates (UAE),"04/07, 10:16"
9074652,Das Island, United Arab Emirates (UAE),"04/07, 10:16",Dahej, India,"04/14, 11:31"
9074652,Dahej, India,"04/14, 11:31",Das Island Anch., United Arab Emirates (UAE),"04/22, 03:03"
9074652,Das Island Anch., United Arab Emirates (UAE),"04/22, 03:03",Das Island, United Arab Emirates (UAE),"04/22, 21:09"
9075333,Anjeong, Korea,"02/15, 05:42",Incheon, Korea,"03/05, 02:22"
9075333,Incheon, Korea,"03/05, 02:22",Pyeongtaek, Korea,"03/20, 23:11"
9075333,Pyeongtaek, Korea,"03/20, 23:11",Incheon, Korea,"04/06, 03:31"
9075333,Incheon, Korea,"04/06, 03:31",Anjeong, Korea,"04/22, 03:57"
9085613,Ras Laffan, Qatar,"02/19, 05:56",Anegasaki, Japan,"03/12, 02:00"
9085613,Anegasaki, Japan,"03/12, 02:00",Singapore Anch. 1, Singapore,"03/20, 00:40"
9085613,Singapore Anch. 1, Singapore,"03/20, 00:40",Ras Laffan, Qatar,"03/28, 16:20"
9085613,Ras Laffan, Qatar,"03/28, 16:20",Anegasaki, Japan,"04/15, 04:30"
9085625,Ras Laffan, Qatar,"02/24, 15:41",Yokkaichi, Japan,"03/15, 02:09"
9085625,Yokkaichi, Japan,"03/15, 02:09",Pasir Gudang,"Johor Anch., Malaysia","03/24, 00:11"
9085625,Pasir Gudang,"Johor Anch., Malaysia","03/24, 00:11",Ras Laffan Anch., Qatar,"04/15, 03:49"
9085637,Singapore Anch. 1, Singapore,"02/18, 07:09",Ras Laffan, Qatar,"02/27, 03:48"
9085637,Ras Laffan, Qatar,"02/27, 03:48",Shikama, Japan,"03/21, 04:13"
9085637,Shikama, Japan,"03/21, 04:13",Ras Laffan Anch., Qatar,"04/09, 08:13"
9085637,Ras Laffan Anch., Qatar,"04/09, 08:13",Ras Laffan, Qatar,"04/17, 07:06"
