Date,Prix
2021-02-02,18.394
2021-02-03,18.347
2021-02-04,17.674
2021-02-05,18.227
2021-02-06,18.787
2021-02-07,18.787
2021-02-08,18.94
2021-02-09,20.853
2021-02-10,19.791
2021-02-11,19.598
2021-02-12,18.016
2021-02-13,17.664
2021-02-14,17.664
2021-02-15,17.671
2021-02-16,16.783
2021-02-17,16.532
2021-02-18,16.743
2021-02-19,16.884
2021-02-20,16.625
2021-02-21,16.625
2021-02-22,16.697
2021-02-23,15.841
2021-02-24,16.009
2021-02-25,16.068
2021-02-26,16.077
2021-02-27,15.839
2021-02-28,15.839
2021-03-01,15.885
2021-03-02,16.322
2021-03-03,16.255
2021-03-04,15.915
2021-03-05,16.235
2021-03-06,16.569
2021-03-07,16.569
2021-03-08,16.601
2021-03-09,16.729
2021-03-10,17.103
2021-03-11,17.709
2021-03-12,17.97
2021-03-13,18.353
2021-03-14,18.353
2021-03-15,18.42
2021-03-16,18.564
2021-03-17,17.803
2021-03-18,18.061
2021-03-19,18.347
2021-03-20,17.664
2021-03-21,17.664
2021-03-22,17.737
2021-03-23,18.137
2021-03-24,18.257
2021-03-25,18.662
