Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Ras Laffan, Qatar",2021-05-21-16:45,FAR EAST,,2021-06-09-21:21,12.3,,51.0°,14.1 kn,-,2021-06-04,2021-06-01-06:35
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Ras Laffan Anch., Qatar",2021-06-01-05:31,FAR EAST,,2021-06-22-22:00,12.0,,127.4°,14.8 kn,-,2021-06-04,2021-06-02-20:40
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Milford Haven, United Kingdom (UK)",2021-05-31-13:28,"Gibraltar West Anch., Gibraltar",,2021-06-03-16:13,9.2,,157.7°,0.0 kn,At anchor,2021-06-04,2021-06-04-07:02
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Ras Laffan Anch., Qatar",2021-06-02-12:47,"Doha, Qatar",,2021-06-02-15:15,9.5,,0.5°,0.1 kn,At anchor,2021-06-04,2021-06-04-07:02
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Ras Laffan Anch., Qatar",2021-05-30-16:01,RAS LAFFAN ANCHORAGE,,2021-06-12-16:54,9.3,,33.3°,0.3 kn,At anchor,2021-06-04,2021-06-04-06:44
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"Ras Laffan, Qatar",2021-05-28-00:52,SUEZ EGP,,2021-06-05-18:19,12.1,,335.1°,14.4 kn,Under way,2021-06-04,2021-06-04-05:42
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Ras Laffan, Qatar",2021-05-23-13:33,QE RLF?KR$INS,,2021-06-07-23:00,12.2,,82.0°,16.4 kn,-,2021-06-04,2021-06-01-01:33
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Malta Anch., Malta",2021-06-01-21:48,"Milford Haven, United Kingdom (UK)",,2021-06-07-23:23,12.0,,249.9°,15.2 kn,Under way,2021-06-04,2021-06-04-00:47
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Gibraltar West Anch., Gibraltar",2021-06-02-17:44,"Port Said, Egypt",,2021-06-07-18:18,9.4,,91.0°,16.3 kn,Under way,2021-06-04,2021-06-04-04:03
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Milford Haven, United Kingdom (UK)",2021-06-03-06:42,"Gibraltar, Gibraltar",,2021-06-06-06:06,9.4,,197.0°,18.1 kn,-,2021-06-04,2021-06-04-00:42
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Ras Laffan, Qatar",2021-05-28-04:20,SOUTH KOREA,,2021-06-14-22:00,12.2,,140.2°,17.8 kn,-,2021-06-04,2021-05-29-02:10
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Incheon, Korea",2021-05-23-06:41, GULF,,2021-06-09-12:12,9.5,,304.0°,16.5 kn,-,2021-06-04,2021-05-30-11:38
