Atime,A_EU,A_NA,A_AS,Eur_Spot_0,Eur_Spot_-3,Eur_Spot_-6,Eur_Spot_-9,Eur_Spot_-12,US_Spot_0,US_Spot_-3,US_Spot_-6,US_Spot_-9,US_Spot_-12,Asia_Fut_0,Asia_Fut_-3,Asia_Fut_-6,Asia_Fut_-9,Asia_Fut_-12
2021-02-12,0,1,2,16.067999999999998,16.697,16.884,16.783,17.664,2.72,3.16,3.49,3.01,2.88,9.06,9.06,9.06,9.06,9.06
2021-02-13,1,1,1,16.009,16.625,16.743,17.671,18.016,2.62,2.5,2.48,2.44,2.52,9.06,9.06,9.06,9.06,9.06
2021-02-14,0,2,0,16.009,16.625,16.743,17.671,18.016,2.8,3.16,3.4,2.99,2.88,9.06,9.06,9.06,9.06,9.06
2021-02-15,1,1,3,16.569000000000006,16.255,15.839,16.067999999999998,15.839,2.65,2.62,2.7,2.72,2.7,9.06,9.06,9.06,9.06,9.06
2021-02-16,0,2,4,16.009,16.625,16.743,17.671,17.674,2.8,3.16,3.35,3.4,2.99,9.06,9.06,9.06,9.06,9.06
2021-02-17,0,1,5,16.067999999999998,16.697,16.884,16.783,17.664,2.72,3.16,4.96,3.35,3.4,9.06,9.06,9.06,9.06,9.06
2021-02-18,0,0,8,16.009,16.625,16.569000000000006,15.915,15.885,2.65,2.62,2.67,2.79,2.7,9.06,9.06,9.06,9.06,9.06
2021-02-19,0,2,2,16.532,17.664,18.016,18.227,18.227,6.12,3.35,3.4,3.01,2.88,9.06,9.06,9.06,9.06,9.06
2021-02-20,1,0,2,16.532,16.783,17.664,18.787,17.674,4.96,6.12,3.35,3.4,2.99,9.06,9.06,9.06,9.06,9.06
2021-02-21,0,2,9,16.625,16.532,16.601,16.235,16.322,2.56,2.53,2.6,2.58,2.7,9.06,9.06,9.06,9.06,9.06
2021-02-22,1,6,7,15.839,15.885,15.839,15.841,16.625,2.7,2.7,2.66,2.72,2.88,9.06,9.06,9.06,9.06,9.06
2021-02-23,0,0,10,16.009,16.625,16.743,16.783,17.664,2.72,3.16,3.4,2.99,2.88,9.06,9.06,9.06,9.06,9.06
2021-02-24,2,5,8,15.841,16.625,16.532,16.783,17.664,2.72,3.16,3.35,2.99,2.88,9.06,9.06,9.06,9.06,9.06
2021-02-25,0,2,5,15.841,16.625,16.532,17.664,17.674,2.8,3.16,3.35,2.99,2.88,9.06,9.06,9.06,9.06,9.06
2021-02-26,3,3,4,16.009,16.625,16.743,16.783,17.664,2.72,3.16,3.35,2.99,2.88,9.06,9.06,9.06,9.06,9.06
2021-02-27,2,5,9,15.839,15.841,16.532,16.532,17.664,2.66,2.8,3.16,2.99,2.88,9.06,9.06,9.06,9.06,9.06
2021-02-28,1,2,6,15.839,15.841,16.532,16.532,17.664,2.66,2.8,3.16,2.99,2.88,9.06,9.06,9.06,9.06,9.06
2021-03-01,2,1,5,15.839,16.009,16.625,16.743,16.783,2.66,2.72,3.16,3.35,3.01,9.06,9.06,9.06,9.06,9.06
2021-03-02,4,5,7,15.839,15.839,15.841,16.532,16.532,2.66,2.66,2.8,3.16,2.99,9.06,9.06,9.06,9.06,9.06
2021-03-03,0,3,15,15.839,15.839,15.841,16.532,16.532,2.66,2.66,2.8,2.99,2.88,9.06,9.06,9.06,9.06,9.06
2021-03-04,3,2,12,15.839,15.839,15.841,16.532,16.532,2.66,2.66,2.72,3.16,2.99,9.06,9.06,9.06,9.06,9.06
2021-03-05,1,2,13,15.839,15.885,15.839,15.841,16.625,2.66,2.7,2.66,2.8,2.99,9.06,9.06,9.06,9.06,9.06
2021-03-06,7,2,16,15.839,15.839,15.839,15.841,16.532,2.66,2.66,2.66,2.72,2.88,9.06,9.06,9.06,9.06,9.06
2021-03-07,3,7,14,15.839,15.839,15.839,15.841,15.841,2.52,2.58,2.52,2.56,2.53,9.06,9.06,9.06,9.06,9.06
2021-03-08,2,5,13,15.839,15.839,15.841,15.839,15.841,2.66,2.66,2.66,2.66,2.8,9.06,9.06,9.06,9.06,9.06
2021-03-09,7,6,14,15.839,15.839,15.839,15.839,15.841,2.66,2.66,2.66,2.66,2.8,9.06,9.06,9.06,9.06,9.06
2021-03-10,3,7,14,15.839,15.839,15.839,15.839,15.841,2.62,2.66,2.66,2.66,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-11,4,10,15,15.839,15.839,15.839,15.839,15.839,2.62,2.66,2.66,2.66,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-12,0,4,9,15.839,15.839,15.841,15.839,15.839,2.62,2.66,2.66,2.7,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-13,10,6,20,15.839,15.839,15.839,15.839,15.839,2.62,2.62,2.66,2.66,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-14,6,1,13,15.839,15.839,15.839,15.839,15.839,2.58,2.62,2.66,2.66,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-15,7,8,22,15.839,15.839,15.839,15.839,15.839,2.58,2.62,2.62,2.66,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-16,3,8,19,15.839,15.839,15.839,15.839,15.839,2.5,2.62,2.62,2.66,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-17,9,4,13,15.839,15.839,15.839,15.839,15.839,2.5,2.58,2.62,2.66,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-18,4,9,18,15.839,15.839,15.839,15.839,15.839,2.45,2.58,2.62,2.62,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-19,8,7,25,15.839,15.839,15.839,15.839,15.839,2.45,2.5,2.62,2.62,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-20,1,9,17,15.839,15.839,15.839,15.841,15.839,2.45,2.5,2.58,2.62,2.66,9.06,9.06,9.06,9.06,9.06
2021-03-21,11,5,15,15.839,15.885,15.839,15.839,15.839,2.45,2.45,2.58,2.62,2.62,9.06,9.06,9.06,9.06,9.06
2021-03-22,7,8,18,15.841,15.885,15.839,15.839,15.839,2.45,2.45,2.5,2.62,2.62,9.06,9.06,9.06,9.06,9.06
2021-03-23,12,11,29,15.885,15.839,15.839,15.839,15.839,2.5,2.45,2.5,2.58,2.62,9.06,9.06,9.06,9.06,9.06
2021-03-24,9,5,20,15.839,15.839,15.839,15.839,15.839,2.5,2.45,2.45,2.58,2.62,9.06,9.06,9.06,9.06,9.06
2021-03-25,9,9,22,15.839,15.839,15.839,15.839,15.839,2.45,2.45,2.45,2.5,2.62,9.06,9.06,9.06,9.06,9.06
2021-03-26,5,11,21,16.077,15.839,15.885,15.839,15.839,2.45,2.45,2.45,2.5,2.58,9.06,9.06,9.06,9.06,9.06
2021-03-27,10,7,20,15.839,15.839,15.885,15.839,15.839,2.45,2.45,2.45,2.45,2.58,9.06,9.06,9.06,9.06,9.06
2021-03-28,6,9,22,15.839,15.839,15.839,15.839,15.839,2.45,2.45,2.45,2.45,2.5,9.06,9.06,9.06,9.06,9.06
2021-03-29,9,10,26,15.839,15.839,15.839,15.839,15.841,2.45,2.45,2.45,2.45,2.5,9.06,9.06,9.06,9.06,9.06
2021-03-30,5,7,23,15.839,15.885,15.885,15.839,15.839,2.45,2.45,2.45,2.45,2.45,9.06,9.06,9.06,9.06,9.06
2021-03-31,9,9,22,15.841,15.839,15.839,15.839,15.839,2.45,2.45,2.45,2.5,2.45,9.06,9.06,9.06,9.06,9.06
2021-04-01,7,10,23,16.235,15.915,15.839,15.885,15.839,2.45,2.45,2.45,2.45,2.45,9.06,9.06,9.06,9.06,9.06
