Atime,D_EU,D_NA,D_AS,A_EU,A_NA,A_AS,Eur_Spot_12,Eur_Spot_9,Eur_Spot_6,Eur_Spot_3,Eur_Spot_0,Eur_Spot_-3,Eur_Spot_-6,Eur_Spot_-9,Eur_Spot_-12,Eur_Spot_-15,Eur_Spot_-18,Eur_Spot_-21,US_Spot_12,US_Spot_9,US_Spot_6,US_Spot_3,US_Spot_0,US_Spot_-3,US_Spot_-6,US_Spot_-9,US_Spot_-12,US_Spot_-15,US_Spot_-18,US_Spot_-21,Spot_diff_12,Spot_diff_9,Spot_diff_6,Spot_diff_3,Spot_diff_0,Spot_diff_-3,Spot_diff_-6,Spot_diff_-9,Spot_diff_-12,Spot_diff_-15,Spot_diff_-18,Spot_diff_-21,Asia_Fut_12,Asia_Fut_9,Asia_Fut_6,Asia_Fut_3,Asia_Fut_0,Asia_Fut_-3,Asia_Fut_-6,Asia_Fut_-9,Asia_Fut_-12,Asia_Fut_-15,Asia_Fut_-18,Asia_Fut_-21
2021-02-12,0,1,2,0,1,2,16.009,16.322,15.839,15.839,16.067999999999998,16.697,16.884,16.783,17.664,18.394,18.347,17.674,2.62,2.72,2.66,2.7,2.72,3.16,3.49,3.01,2.88,2.76,2.63,2.45,13.389,13.602,13.179,13.139,13.348,13.537,13.394,13.773,14.784,15.634,15.717,15.224,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2021-02-13,1,1,2,1,1,1,16.009,16.235,16.322,15.839,16.009,16.625,16.743,17.671,18.016,18.394,18.394,18.347,2.67,2.72,2.72,2.66,2.62,2.5,2.48,2.44,2.52,2.52,2.58,2.45,13.339,13.515,13.602,13.179,13.389,14.125,14.263,15.231,15.496,15.874,15.814,15.897,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2021-02-14,0,2,0,0,2,0,16.067999999999998,16.235,16.322,15.839,16.009,16.625,16.743,17.671,18.016,18.394,18.394,18.347,2.67,2.72,2.87,2.66,2.8,3.16,3.4,2.99,2.88,2.68,2.73,2.45,13.398,13.515,13.452,13.179,13.209,13.465,13.343,14.681,15.136,15.714,15.664,15.897,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2021-02-15,1,1,3,1,1,3,16.009,15.839,16.009,16.532,16.569000000000006,16.255,15.839,16.067999999999998,15.839,16.067999999999998,16.697,16.884,2.45,2.55,2.45,2.58,2.65,2.62,2.7,2.72,2.7,2.68,2.63,2.45,13.559,13.289,13.559,13.952,13.919,13.635,13.139,13.348,13.139,13.388,14.067,14.434,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2021-02-16,0,2,4,0,2,4,15.839,15.841,16.322,15.839,16.009,16.625,16.743,17.671,17.674,18.394,18.394,18.347,2.66,2.72,2.87,2.66,2.8,3.16,3.35,3.4,2.99,2.68,2.68,2.63,13.179,13.121,13.452,13.179,13.209,13.465,13.393,14.271,14.684,15.714,15.714,15.717,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2021-02-17,0,1,5,0,1,5,16.255,15.839,16.009,15.839,16.067999999999998,16.697,16.884,16.783,17.664,17.674,18.394,17.674,2.62,2.66,2.72,2.7,2.72,3.16,4.96,3.35,3.4,2.99,2.88,2.68,13.635,13.179,13.289,13.139,13.348,13.537,11.924,13.433,14.264,14.684,15.514,14.994,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2021-02-18,0,0,8,0,0,8,15.839,15.839,15.841,15.839,16.009,16.625,16.569000000000006,15.915,15.885,16.077,15.841,16.625,2.52,2.55,2.53,2.5,2.65,2.62,2.67,2.79,2.7,2.66,2.63,2.45,13.319,13.289,13.311,13.339,13.359,14.005,13.899,13.125,13.185,13.417,13.211,14.175,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2021-02-19,0,2,2,0,2,2,15.885,15.839,15.841,16.532,16.532,17.664,18.016,18.227,18.227,18.347,18.394,18.394,2.66,2.66,2.8,3.16,6.12,3.35,3.4,3.01,2.88,2.68,2.63,2.45,13.225,13.179,13.041,13.372,10.412,14.314,14.616,15.217,15.347,15.667,15.764,15.944,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2021-02-20,0,0,3,1,0,2,15.839,15.839,15.841,16.625,16.532,16.783,17.664,18.787,17.674,17.674,18.394,18.394,2.66,2.66,2.72,3.16,4.96,6.12,3.35,3.4,2.99,2.88,2.68,2.63,13.179,13.179,13.121,13.465,11.572,10.663,14.314,15.387,14.684,14.794,15.714,15.764,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2021-02-21,0,2,9,0,2,9,15.839,15.839,15.839,15.841,16.625,16.532,16.601,16.235,16.322,15.839,16.009,16.322,2.43,2.52,2.53,2.52,2.56,2.53,2.6,2.58,2.7,2.66,2.68,2.45,13.409,13.319,13.309,13.321,14.065,14.002,14.001,13.655,13.622,13.179,13.329,13.872,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06
