Atime,D_SA,A_SA,D_AF,A_AF,D_OC,A_OC,D_NA,A_NA,D_AS,A_AS,D_EU,A_EU
2021-02-12,0,0,0,0,0,0,1,1,2,2,0,0
2021-02-13,0,0,0,1,0,0,1,1,2,1,1,1
2021-02-14,0,0,0,0,0,0,2,2,0,0,0,0
2021-02-15,0,0,0,0,1,1,1,1,3,3,1,1
2021-02-16,0,0,0,0,0,0,2,2,4,4,0,0
2021-02-17,0,0,0,0,1,1,1,1,5,5,0,0
2021-02-18,1,1,1,1,0,0,0,0,8,8,0,0
2021-02-19,0,0,0,0,0,0,2,2,2,2,0,0
2021-02-20,0,0,0,0,1,1,0,0,3,2,0,1
2021-02-21,0,0,1,1,0,0,2,2,9,9,0,0
2021-02-22,2,2,3,2,2,2,6,6,7,7,0,1
2021-02-23,1,2,2,1,2,1,1,0,8,10,0,0
2021-02-24,0,0,0,1,1,0,6,5,7,8,2,2
2021-02-25,0,0,1,1,2,1,2,2,4,5,0,0
2021-02-26,0,0,2,2,0,2,3,3,6,4,3,3
2021-02-27,0,0,0,0,4,6,6,5,11,9,1,2
2021-02-28,2,1,1,0,1,1,2,2,5,6,0,1
2021-03-01,0,0,1,0,2,0,1,1,2,5,2,2
2021-03-02,0,0,3,2,1,2,5,5,10,7,1,4
2021-03-03,0,0,0,2,2,0,3,3,14,15,1,0
2021-03-04,0,0,1,2,2,3,4,2,13,12,2,3
2021-03-05,2,2,1,0,3,5,2,2,14,13,1,1
2021-03-06,0,0,3,3,4,4,4,2,15,16,6,7
2021-03-07,0,0,5,3,3,4,7,7,12,14,4,3
2021-03-08,0,0,0,1,2,3,6,5,14,13,2,2
2021-03-09,0,0,3,5,4,2,8,6,14,14,5,7
2021-03-10,0,0,4,5,1,5,8,7,17,14,4,3
2021-03-11,1,2,5,3,3,2,9,10,14,15,4,4
2021-03-12,0,0,1,2,3,2,4,4,8,9,1,0
2021-03-13,0,1,5,2,3,6,11,6,24,20,2,10
2021-03-14,0,0,1,5,6,8,2,1,18,13,6,6
2021-03-15,2,1,4,2,4,2,9,8,18,22,5,7
2021-03-16,0,0,1,2,3,5,8,8,24,19,1,3
2021-03-17,0,0,3,3,7,4,3,4,13,13,7,9
2021-03-18,2,4,1,1,9,6,9,9,16,18,5,4
2021-03-19,0,0,9,6,6,4,7,7,25,25,3,8
2021-03-20,0,0,5,5,5,5,7,9,17,17,3,1
2021-03-21,1,0,7,4,2,4,6,5,17,15,6,11
2021-03-22,1,1,7,4,6,5,5,8,19,18,5,7
2021-03-23,1,1,5,3,7,4,13,11,25,29,9,12
2021-03-24,0,0,7,5,4,8,8,5,21,20,7,9
2021-03-25,2,1,6,3,12,7,6,9,16,22,9,9
2021-03-26,0,1,1,1,6,7,12,11,23,21,4,5
2021-03-27,0,0,5,3,5,4,8,7,19,20,7,10
2021-03-28,1,1,5,1,3,4,9,9,21,22,4,6
2021-03-29,1,0,3,0,9,8,7,10,23,26,10,9
2021-03-30,0,0,6,5,5,7,8,7,23,23,5,5
2021-03-31,0,0,3,3,3,4,11,9,22,22,8,9
2021-04-01,1,1,5,7,8,5,12,10,21,23,6,7
2021-04-02,0,0,6,4,5,4,11,11,34,37,9,9
2021-04-03,1,0,8,6,5,4,7,9,25,25,8,10
2021-04-04,0,0,0,4,2,4,5,6,19,15,5,2
2021-04-05,0,0,8,11,7,11,9,10,43,35,9,9
2021-04-06,1,1,4,6,8,7,13,10,23,20,5,10
2021-04-07,0,2,4,4,8,4,8,3,26,33,9,9
2021-04-08,0,0,3,5,4,3,9,10,22,23,12,9
2021-04-09,2,2,4,6,3,4,8,7,31,33,12,8
2021-04-10,0,1,6,7,3,5,15,11,32,32,13,13
2021-04-11,2,2,3,3,6,4,2,5,27,31,14,9
2021-04-12,0,0,2,2,3,6,10,7,28,27,10,11
2021-04-13,0,0,4,6,7,6,11,11,27,24,6,8
2021-04-14,1,0,9,6,6,9,8,6,36,35,9,13
2021-04-15,0,2,5,3,0,7,10,8,39,32,14,16
2021-04-16,0,1,2,4,3,4,7,2,25,28,10,8
2021-04-17,1,2,5,8,4,3,11,9,16,16,7,6
2021-04-18,0,0,10,8,3,5,8,9,29,25,10,13
2021-04-19,1,1,7,6,8,5,9,5,27,30,8,13
2021-04-20,0,0,5,7,7,7,7,10,39,33,9,10
2021-04-21,1,1,7,7,2,5,5,7,22,18,16,15
2021-04-22,1,2,3,6,1,3,6,5,26,24,16,13
2021-04-23,0,2,4,7,6,4,10,6,26,29,12,10
2021-04-24,2,2,12,4,6,10,3,2,24,28,9,10
2021-04-25,3,1,4,7,7,4,8,9,28,28,5,6
2021-04-26,1,1,8,7,7,4,8,9,29,35,10,7
2021-04-27,1,1,4,2,5,3,3,3,23,24,7,10
2021-04-28,1,0,2,3,3,5,5,5,27,26,8,7
2021-04-29,0,0,6,1,5,6,8,10,29,31,5,5
2021-04-30,0,0,5,5,5,4,6,6,25,27,12,11
2021-05-01,0,0,6,7,4,4,6,11,28,28,9,3
2021-05-02,2,2,3,3,5,1,3,4,20,24,5,4
2021-05-03,1,0,4,2,2,4,4,5,25,21,6,10
2021-05-04,1,1,4,7,4,2,4,8,31,30,9,5
2021-05-05,0,0,5,4,1,1,5,7,27,28,10,8
2021-05-06,0,0,5,4,6,11,6,5,35,29,5,8
2021-05-07,0,0,7,7,5,3,7,5,23,24,6,9
2021-05-08,1,1,10,5,2,3,5,5,25,29,9,9
2021-05-09,0,0,3,3,4,5,4,5,22,19,8,9
2021-05-10,1,0,3,7,3,5,4,1,25,24,5,4
2021-05-11,1,2,7,3,8,3,8,8,17,25,6,6
2021-05-12,0,0,6,3,4,2,4,9,21,21,11,11
2021-05-13,0,1,4,1,2,4,5,4,18,20,7,6
2021-05-14,1,0,3,3,3,4,8,9,22,19,4,6
2021-05-15,0,1,3,1,3,4,5,8,22,19,2,2
2021-05-16,0,2,2,2,1,1,8,8,16,12,4,6
2021-05-17,0,0,0,6,7,1,3,3,15,19,6,2
2021-05-18,0,0,0,3,7,4,6,1,12,16,2,3
2021-05-19,0,0,3,1,1,3,5,5,13,14,3,2
2021-05-20,0,0,1,1,4,2,5,5,14,16,2,2
2021-05-21,1,0,1,3,2,3,3,2,17,16,2,2
2021-05-22,0,1,2,3,0,1,5,1,13,11,3,6
2021-05-23,0,0,0,2,2,2,2,2,10,9,3,2
2021-05-24,0,0,1,2,0,1,3,2,5,4,2,2
2021-05-25,1,2,2,2,1,0,4,4,8,8,2,2
2021-05-26,1,0,2,1,1,0,0,4,8,7,0,0
2021-05-27,0,0,1,1,3,2,4,3,4,8,2,0
2021-05-28,0,0,0,1,1,1,2,1,6,6,0,0
2021-05-29,1,0,1,1,1,3,4,2,4,6,1,0
2021-05-30,0,1,1,0,2,1,1,1,4,4,0,1
2021-05-31,0,0,0,1,1,1,2,0,3,4,1,1
2021-06-01,1,0,0,1,0,0,2,2,3,3,0,0
2021-06-02,1,1,2,1,0,0,1,0,2,4,0,0
2021-06-03,0,0,0,1,1,2,2,0,6,6,0,0
2021-06-04,1,1,0,0,0,0,3,3,2,2,0,0
2021-06-05,0,0,0,2,0,0,2,2,0,1,3,0
2021-06-06,0,0,0,0,0,0,1,2,2,1,0,0
2021-06-07,0,0,0,0,0,0,0,0,3,3,0,0
2021-06-08,0,1,0,0,0,0,0,2,4,1,0,0
2021-06-09,0,0,1,0,1,1,2,1,1,3,0,0
2021-06-10,0,0,0,2,1,1,0,0,2,1,1,0
2021-06-11,0,0,0,0,0,0,1,0,0,1,0,0
2021-06-12,1,0,0,1,0,0,0,1,2,1,0,0
