Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,EUROPE,EUROPE,2021-04-19-14:14,12.1,16.84808 N/58.17114 E,147.0°,17.7 kn,-,2021-03-28,2021-03-26-01:52
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,EG PSD,PortSaid,2021-03-28-16:16,9.1,31.49442 N/32.22862 E,36.2°,0.0 kn,At anchor,2021-03-28,2021-03-28-15:29
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"PYEONGTAEK,S.KOREA","PYEONGTAEK,S.KOREA",2021-03-30-05:30,12.0,1.36229 N/104.42453 E,54.0°,15.5 kn,-,2021-03-28,2021-03-23-05:55
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,QATAR,Doha,2021-03-30-14:00,9.5,7.63872 N/76.26801 E,321.1°,19.4 kn,-,2021-03-28,2021-03-25-20:37
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,GB MLF>ESLPA,LasPalmas,2021-03-28-11:11,9.3,28.14321 N/15.38964 W,139.9°,0.3 kn,Moored,2021-03-28,2021-03-28-15:27
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,INCHEON,Incheon,2021-03-28-05:05,12.2,37.32529 N/126.4882 E,81.3°,11.4 kn,Under way,2021-03-28,2021-03-28-06:07
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,UK MLF,UK MLF,2021-03-25-23:01,12.2,44.87214 N/9.43935 W,197.6°,17.1 kn,Under way,2021-03-28,2021-03-28-15:21
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,CAPE OF GOOD HOPE,CAPE OF GOOD HOPE,2021-04-04-00:01,12.2,21.50264 N/60.35244 E,202.8°,16.0 kn,-,2021-03-28,2021-03-24-01:55
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,RAS LAFFAN,RasLaffan,2021-03-28-03:03,9.3,26.22934 N/56.84897 E,334.9°,19.0 kn,-,2021-03-28,2021-03-27-08:03
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,MIDDLE EAST,MIDDLE EAST,2021-04-05-14:00,9.2,3.78155 N/100.06053 E,306.0°,19.6 kn,-,2021-03-28,2021-03-28-04:34
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,THAILAND,Bangkok,2021-03-29-23:00,12.0,4.05655 N/104.15356 E,344.0°,18.1 kn,-,2021-03-28,2021-03-28-15:24
