Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Milford Haven, United Kingdom (UK)","Apr 22, 19:11 UTC",EG PSD>?? ???,,"May 1, 13:00",9.5,,105.5°,14.5 kn,-,2021-04-29,2021-04-29-06:31
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Malta Anch., Malta","Apr 24, 22:04 UTC",MLF UK,,"May 1, 00:00",12.0,,15.0°,14.5 kn,-,2021-04-29,2021-04-29-20:51
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Singapore Anch. 1, Singapore","Apr 13, 06:20 UTC","Ras Laffan Anch., Qatar",,"Apr 21, 10:22 UTCARRIVED",9.0,,318.9°,0.5 kn,At anchor,2021-04-29,2021-04-29-21:10
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"Ras Laffan, Qatar","Apr 24, 09:09 UTC","As Suways / Suez Port, Egypt",,"May 2, 20:00",12.2,,31.1°,14.5 kn,Under way,2021-04-29,2021-04-29-18:41
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Ras Laffan, Qatar","Apr 27, 05:31 UTC","INCHEON, S KOREA",,"Apr 27, 21:21",12.2,,130.4°,19.0 kn,-,2021-04-29,2021-04-28-01:38
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"As Suways (Suez) Anch., Egypt","Apr 25, 04:29 UTC","MILFORD HAVEN, UK",,"May 4, 00:00",12.1,,265.6°,16.6 kn,Under way,2021-04-29,2021-04-29-19:18
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Ras Laffan Anch., Qatar","Apr 17, 12:26 UTC","Dalian, China",,"May 3, 23:23",12.1,,48.0°,15.7 kn,-,2021-04-29,2021-04-26-13:59
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Milford Haven, United Kingdom (UK)","Apr 25, 07:23 UTC","Valletta, Malta",,"Apr 28, 16:00",9.4,,84.0°,17.2 kn,-,2021-04-29,2021-04-29-02:24
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Singapore Anch. 1, Singapore","Apr 24, 16:10 UTC","Doha, Qatar",,"May 3, 14:14",9.5,,315.0°,18.5 kn,-,2021-04-29,2021-04-25-07:14
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Pyeongtaek, Korea","Apr 24, 22:48 UTC","Singapore, Singapore",,"May 2, 03:00",9.5,,55.0°,16.1 kn,-,2021-04-29,2021-04-16-11:53
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Ras Laffan Anch., Qatar","Apr 15, 10:58 UTC","Incheon, Korea",,"May 3, 22:30",12.0,,21.7°,18.0 kn,Under way,2021-04-29,2021-04-29-19:59
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Ras Laffan Anch., Qatar","Apr 29, 16:37 UTC",GULF,,"Apr 30, 18:18",9.5,,321.0°,0.4 kn,At anchor,2021-04-29,2021-04-29-21:10
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,"As Suways (Suez) Anch., Egypt","Apr 29, 04:16 UTC",MILFORD HAVEN UK,,"May 8, 23:01",12.0,,314.1°,15.4 kn,Under way,2021-04-29,2021-04-29-21:11
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,"Pena Blanca Anch., Panama","Apr 28, 16:00 UTC",ASIA,,"May 20, 21:00",11.7,,180.4°,17.2 kn,-,2021-04-29,2021-04-29-00:33
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,"Yangkou, China","Apr 26, 22:29 UTC","Yeosu, Korea",,"Apr 28, 02:30",9.5,,98.6°,10.9 kn,-,2021-04-29,2021-04-27-01:42
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,"Darwin, Australia","Apr 23, 08:13 UTC","Yung An, Taiwan",,"Apr 29, 23:30",11.9,,2.2°,15.1 kn,Under way,2021-04-29,2021-04-29-21:11
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,"Nagoya, Japan","Apr 9, 01:18 UTC","Balboa, Panama",,"May 1, 17:00",9.5,,120.3°,15.8 kn,-,2021-04-29,2021-04-09-05:02
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,"Panama Canal Anch. Pacific, Panama","Apr 21, 07:46 UTC","Lake Charles, United States (USA)",,"Apr 26, 19:23 UTCARRIVED",10.0,,0.0°,0.0 kn,Moored,2021-04-29,2021-04-29-20:54
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,"Singapore, Singapore","Apr 2, 04:51 UTC",Destination not available,,-,6.0,,59.0°,0.0 kn,-,2021-04-29,2021-04-29-05:32
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,"Yokohama, Japan","Apr 24, 03:27 UTC","Dampier, Australia",,"May 2, 21:00",9.7,,205.9°,16.7 kn,-,2021-04-29,2021-04-24-09:31
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,"Sakai, Japan","Apr 25, 06:56 UTC",FOR ORDERS,,"Jun 6, 11:00",9.6,,175.4°,15.2 kn,-,2021-04-29,2021-04-25-11:32
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,"Panama Canal Anch. Atlantic, Panama","Apr 20, 23:49 UTC","Cameron, United States (USA)",,"Apr 28, 02:30",9.5,,236.1°,0.0 kn,At anchor,2021-04-29,2021-04-29-21:08
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,"Malta Anch., Malta","Apr 23, 07:47 UTC","Zeebrugge, Belgium",,"Apr 29, 21:59",12.0,,63.8°,7.3 kn,Under way,2021-04-29,2021-04-29-21:10
AL SAFLIYA,9337963,308171000,Bahamas,315,50,137535,121963,"Ras Laffan Anch., Qatar","Apr 11, 06:08 UTC",RAS LAFFAN ANCHORAGE,,"Apr 11, 13:00",9.5,,24.3°,0.1 kn,At anchor,2021-04-29,2021-04-29-21:09
AL GHARIYA,9337987,308248000,Bahamas,315,50,137535,121730,"Swinoujscie, Poland","Apr 19, 15:09 UTC","Port Said, Egypt",,"Apr 30, 12:00",9.5,,107.9°,18.5 kn,Under way,2021-04-29,2021-04-29-20:32
DUHAIL,9337975,309599000,Bahamas,315,50,137535,121639,"Ras Laffan Anch., Qatar","Apr 18, 02:41 UTC","Mab Tapud, Thailand",,"May 3, 23:00",12.0,,49.3°,14.1 kn,-,2021-04-29,2021-04-28-17:54
AL SHEEHANIYA,9360831,538003364,Marshall Islands,315,50,136980,122006,"Ras Laffan, Qatar","Apr 22, 08:39 UTC","GUANGDONG, CHINA",,"May 4, 19:03",11.0,,138.6°,18.6 kn,-,2021-04-29,2021-04-24-00:39
AL BAHIYA,9431147,538003349,Marshall Islands,315,50,136980,121957,"Ras Laffan Anch., Qatar","Apr 28, 18:00 UTC","Ras Laffan, Qatar",,"Apr 28, 18:43 UTCARRIVED",9.3,,26.2°,0.0 kn,Moored,2021-04-29,2021-04-29-18:07
AL KHATTIYA,9431111,538003350,Marshall Islands,315,50,136980,121946,"Swinoujscie, Poland","Apr 29, 14:52 UTC","Skagen, Denmark",,"Apr 30, 14:00",9.6,,231.7°,13.0 kn,Under way,2021-04-29,2021-04-29-21:11
AL NUAMAN,9431135,538003351,Marshall Islands,315,50,136980,121910,"Ras Laffan, Qatar","Apr 27, 07:14 UTC","As Suways / Suez Port, Egypt",,"May 11, 22:00",8.9,,128.5°,18.9 kn,-,2021-04-29,2021-04-28-03:54
AL KARAANA,9431123,538003358,Marshall Islands,315,50,136980,122052,"As Suways (Suez) Anch., Egypt","Apr 14, 05:26 UTC","Revithoussa Desfa LNG Term., Greece",,"May 4, 04:00",12.2,,227.7°,1.2 kn,Under way,2021-04-29,2021-04-29-21:11
ONAIZA,9397353,538003363,Marshall Islands,315,50,136980,121939,"Port Said Anch., Egypt","Apr 27, 03:08 UTC","Soroosh Term., Iran",,"May 4, 19:19",9.2,,154.5°,16.2 kn,-,2021-04-29,2021-04-29-07:12
AL SADD,9397341,538003361,Marshall Islands,315,50,136980,121913,"Ras Laffan, Qatar","Apr 26, 17:26 UTC",FAR EAST,,"May 16, 21:21",12.2,,143.1°,17.4 kn,-,2021-04-29,2021-04-27-18:39
SEISHU MARU,9666558,311000261,Bahamas,288,49,136740,86414,"Kawasaki, Japan","Apr 25, 01:17 UTC",AU_ASB,,"May 13, 00:00",9.5,,168.5°,10.8 kn,-,2021-04-29,2021-04-25-07:38
ESSHU MARU,9666560,311000285,Bahamas,288,49,136740,86455,"Mab Tapud Anch., Thailand","Apr 25, 02:32 UTC",ASBN AU,,"May 7, 07:00",10.0,,153.7°,10.1 kn,-,2021-04-29,2021-04-27-15:52
LNG SATURN,9696149,311000439,Bahamas,288,49,136739,86044,"Ishikariwan Shinko, Japan","Apr 18, 02:27 UTC","Singapore Anch. 1, Singapore",,"Apr 28, 04:31 UTCARRIVED",9.8,,57.0°,0.0 kn,At anchor,2021-04-29,2021-04-29-21:09
LNG JUROJIN,9666998,311000420,Bahamas,288,49,136739,86121,"Gladstone, Australia","Apr 23, 03:02 UTC","Himeji, Japan",,"May 3, 20:30",11.2,,62.8°,16.3 kn,-,2021-04-29,2021-04-23-07:08
PACIFIC MIMOSA,9743875,431778000,Japan,288,49,136716,86497,"Bintulu, Sarawak, Malaysia","Apr 19, 03:09 UTC",KR HAS,,"May 1, 01:00",11.2,,10.5°,10.5 kn,-,2021-04-29,2021-04-27-23:29
LNG MARS,9645748,431177000,Japan,288,49,136710,86161,"Lese, Papua New Guinea","Apr 17, 22:05 UTC","Kagoshima, Japan",,"May 1, 22:00",11.7,,99.9°,10.6 kn,-,2021-04-29,2021-03-22-15:16
FRAIHA,9360817,538003101,Marshall Islands,306,50,136685,121914,"Ras Laffan, Qatar","Apr 24, 18:06 UTC","Jintang, China",,"May 10, 06:00",12.1,,125.0°,17.9 kn,-,2021-04-29,2021-04-25-15:07
MURWAB,9360805,538003100,Marshall Islands,315,50,136685,121843,"Gibraltar West Anch., Gibraltar","Apr 24, 08:59 UTC","Port Said, Egypt",,"Apr 30, 11:00",9.3,,107.0°,18.7 kn,Under way,2021-04-29,2021-04-29-20:38
UMM AL AMAD,9360829,538003073,Marshall Islands,315,50,136685,121730,"Port Said Anch., Egypt","Apr 23, 02:32 UTC","Ras Laffan, Qatar",,"Apr 30, 15:00",9.4,,347.0°,19.3 kn,Under way,2021-04-29,2021-04-29-16:32
