Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,"Port Said Anch., Egypt",2021-05-02-03:25,"Soroosh Term., Iran",,2021-05-10-17:17,9.4,,142.4°,14.3 kn,-,2021-05-05,2021-05-04-17:23
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,"Milford Haven, United Kingdom (UK)",2021-05-02-06:45,GIB,,2021-05-05-04:30,9.1,,25.1°,1.0 kn,Under way,2021-05-05,2021-05-05-08:58
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,"Ras Laffan Anch., Qatar",2021-04-21-10:22,Destination not available,,-,9.0,,26.8°,0.1 kn,At anchor,2021-05-05,2021-05-05-05:04
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,"As Suways (Suez) Anch., Egypt",2021-05-03-05:55,UK,,2021-05-13-22:00,12.2,,283.0°,15.9 kn,Under way,2021-05-05,2021-05-05-08:44
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,"Ras Laffan, Qatar",2021-04-27-05:31,"Incheon, Korea",,2021-05-12-22:00,12.2,,136.0°,15.6 kn,-,2021-05-05,2021-05-05-08:37
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,"Milford Haven, United Kingdom (UK)",2021-05-04-15:49,"MILFORD HAVEN, UK",,2021-05-04-00:00,12.1,,167.3°,0.0 kn,Moored,2021-05-05,2021-05-05-08:56
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,"Ras Laffan Anch., Qatar",2021-04-17-12:26,"Yangkou, China",,2021-05-05-04:04,11.9,,162.7°,0.0 kn,Moored,2021-05-05,2021-05-05-07:00
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,"Port Said Anch., Egypt",2021-05-05-02:44,"Ras Laffan, Qatar",,2021-05-13-15:15,9.4,,190.0°,5.9 kn,-,2021-05-05,2021-05-05-08:48
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,"Ras Laffan, Qatar",2021-05-04-10:09,"Zeebrugge, Belgium",,2021-05-24-22:01,11.7,,105.3°,0.0 kn,Moored,2021-05-05,2021-05-05-04:11
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,"Singapore Anch. 1, Singapore",2021-05-02-19:08,MIDDLE EAST,,2021-05-12-02:02,9.3,,315.0°,16.3 kn,-,2021-05-05,2021-05-03-12:36
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,"Incheon, Korea",2021-05-05-07:58,"Singapore, Singapore",,2021-05-11-02:00,9.5,,234.8°,14.4 kn,Under way,2021-05-05,2021-05-05-08:49
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,"Ras Laffan, Qatar",2021-05-03-11:22,FAR EAST,,2021-05-22-03:03,12.2,,71.0°,13.0 kn,-,2021-05-05,2021-05-04-04:10
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,"As Suways (Suez) Anch., Egypt",2021-04-29-04:20,MILFORD HAVEN UK,,2021-05-08-23:01,12.0,,271.5°,13.8 kn,Under way,2021-05-05,2021-05-05-08:58
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,"Pena Blanca Anch., Panama",2021-04-28-16:00,"Tokyo, Japan",,2021-05-20-21:00,11.7,,180.4°,17.2 kn,-,2021-05-05,2021-04-29-00:33
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,"Yangkou, China",2021-04-26-22:29,"Balboa, Panama",,2021-05-25-00:01,9.7,,98.6°,10.9 kn,-,2021-05-05,2021-04-27-01:42
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,"Yung An, Taiwan",2021-04-30-23:34,"Darwin, Australia",,2021-05-06-08:30,10.0,,97.1°,20.6 kn,-,2021-05-05,2021-05-01-06:02
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,"Panama Canal Anch. Pacific, Panama",2021-05-02-09:38,"Lake Charles, United States (USA)",,2021-05-07-11:00,9.7,,9.5°,14.5 kn,-,2021-05-05,2021-05-02-22:53
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,"Pena Blanca Anch., Panama",2021-05-04-15:42,"Cristobal, Panama",,2021-05-04-05:01,10.4,,176.7°,15.1 kn,Under way,2021-05-05,2021-05-05-01:02
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,"Singapore, Singapore",2021-05-04-01:52,"Singapore Anch. 1, Singapore",,2021-05-04-06:57,9.8,,228.0°,0.3 kn,At anchor,2021-05-05,2021-05-05-08:57
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,"Yokohama, Japan",2021-04-24-03:27,"Dampier, Australia",,2021-05-05-04:00,9.7,,29.5°,9.4 kn,Under way,2021-05-05,2021-05-05-08:46
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,"Sakai, Japan",2021-04-25-06:56,FOR ORDERS,,2021-06-06-11:00,9.6,,318.0°,16.3 kn,-,2021-05-05,2021-05-02-22:42
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,"Lake Charles, United States (USA)",2021-05-02-19:32,"Cristobal, Panama",,2021-05-07-21:00,11.8,,139.0°,16.0 kn,-,2021-05-05,2021-05-04-03:48
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,"Zeebrugge, Belgium",2021-05-01-04:13,SAFE PORT USA,,2021-05-17-05:01,9.4,,248.7°,13.4 kn,-,2021-05-05,2021-05-04-01:08
AL SAFLIYA,9337963,308171000,Bahamas,315,50,137535,121963,"Ras Laffan Anch., Qatar",2021-04-11-06:08,RAS LAFFAN ANCHORAGE,,2021-04-11-13:00,9.5,,97.6°,0.1 kn,At anchor,2021-05-05,2021-05-05-08:04
AL GHARIYA,9337987,308248000,Bahamas,315,50,137535,121730,"Port Said Anch., Egypt",2021-05-01-02:48,"Ras Laffan, Qatar",,2021-05-08-21:00,9.5,,151.4°,19.0 kn,-,2021-05-05,2021-05-03-03:18
DUHAIL,9337975,309599000,Bahamas,315,50,137535,121639,"Ras Laffan Anch., Qatar",2021-04-18-02:41,"Mab Tapud, Thailand",,2021-05-03-23:19,12.0,,214.6°,0.0 kn,-,2021-05-05,2021-05-04-00:10
AL SHEEHANIYA,9360831,538003364,Marshall Islands,315,50,136980,122006,"Dapeng, China",2021-05-05-03:32,"GUANGDONG, CHINA",,2021-05-04-19:19,11.0,,23.4°,1.0 kn,Under way,2021-05-05,2021-05-05-03:40
AL BAHIYA,9431147,538003349,Marshall Islands,315,50,136980,121957,"Ras Laffan Anch., Qatar",2021-04-30-07:09,QA RLF ANCHORAGE,,2021-04-30-08:08,12.2,,36.2°,0.0 kn,At anchor,2021-05-05,2021-05-05-08:09
AL KHATTIYA,9431111,538003350,Marshall Islands,315,50,136980,121946,"Swinoujscie, Poland",2021-04-29-14:52,"Port Said, Egypt",,2021-05-10-18:00,9.6,,102.3°,17.1 kn,Under way,2021-05-05,2021-05-05-08:58
AL NUAMAN,9431135,538003351,Marshall Islands,315,50,136980,121910,"Ras Laffan, Qatar",2021-04-27-07:14,EAST CHINA SEA,,2021-05-11-22:22,12.2,,123.0°,17.4 kn,-,2021-05-05,2021-05-05-08:55
AL KARAANA,9431123,538003358,Marshall Islands,315,50,136980,122052,"As Suways (Suez) Anch., Egypt",2021-04-14-05:26,"Revithoussa Desfa LNG Term., Greece",,2021-05-05-15:00,12.0,,1.9°,15.0 kn,Under way,2021-05-05,2021-05-05-08:58
ONAIZA,9397353,538003363,Marshall Islands,315,50,136980,121939,"Ras Laffan Anch., Qatar",2021-05-05-03:20,"Soroosh Term., Iran",,2021-05-05-09:09,9.1,,164.8°,0.2 kn,At anchor,2021-05-05,2021-05-05-08:11
AL SADD,9397341,538003361,Marshall Islands,315,50,136980,121913,"Ras Laffan, Qatar",2021-04-26-17:26,FAR EAST,,2021-05-16-21:21,12.2,,143.1°,17.4 kn,-,2021-05-05,2021-04-27-18:39
SEISHU MARU,9666558,311000261,Bahamas,288,49,136740,86414,"Kawasaki, Japan",2021-04-25-01:17,AU_ASB,,2021-05-13-00:00,9.5,,168.5°,10.8 kn,-,2021-05-05,2021-04-25-07:38
ESSHU MARU,9666560,311000285,Bahamas,288,49,136740,86455,"Mab Tapud Anch., Thailand",2021-04-25-02:32,ASBN AU,,2021-05-07-07:00,10.0,,153.7°,10.1 kn,-,2021-05-05,2021-04-27-15:52
LNG SATURN,9696149,311000439,Bahamas,288,49,136739,86044,"Singapore Anch. 1, Singapore",2021-04-30-04:49,Destination not available,,-,9.8,,151.8°,0.0 kn,-,2021-05-05,2021-04-30-07:07
LNG JUROJIN,9666998,311000420,Bahamas,288,49,136739,86121,"Shikama, Japan",2021-05-05-01:52,"Gladstone, Australia",,2021-05-22-11:01,9.8,,181.4°,13.2 kn,Moored,2021-05-05,2021-05-05-08:31
