Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL SAMRIYA,9388821,538003295,Marshall Islands,345,55,168189,154900,EUROPE,EUROPE,2021-04-15-18:00,12.1,22.72175 S/6.84218 E,322.5°,19.2 kn,Under way,2021-04-07,2021-04-07-00:11
LIJMILIYA,9388819,538003294,Marshall Islands,345,55,168189,155159,PERSIAN GULF,Soroosh,2021-04-10-06:06,9.1,18.26426 N/39.66748 E,135.9°,2.5 kn,-,2021-04-07,2021-04-04-15:49
AL GHUWAIRIYA,9372743,538003293,Marshall Islands,345,55,168189,154940,SINGAPORE ASSPU ANCH,SINGAPORE ASSPU ANCH,2021-04-12-11:00,9.4,29.81463 N/122.43225 E,195.5°,0.0 kn,At anchor,2021-04-07,2021-04-07-06:36
ZARGA,9431214,538003346,Marshall Islands,345,54,163922,130211,QATAR,Doha,2021-03-30-14:00,9.5,25.79106 N/51.8923 E,347.0°,1.8 kn,At anchor,2021-04-07,2021-04-07-05:50
SHAGRA,9418365,538003348,Marshall Islands,345,54,163922,130102,QARLF,RasLaffan,2021-04-20-09:00,9.4,7.22832 N/15.44744 W,144.2°,20.1 kn,-,2021-04-07,2021-04-01-12:21
AL DAFNA,9443683,538003355,Marshall Islands,345,54,163922,130157,QATAR,Doha,2021-04-14-15:02,9.4,3.8832 N/100.03504 E,330.0°,18.7 kn,-,2021-04-07,2021-04-06-13:34
AL MAYEDA,9397298,538003356,Marshall Islands,345,54,163922,130298,PORT SAID,PortSaid,2021-04-04-18:18,9.5,31.08899 N/32.30825 E,179.8°,8.8 kn,Under way,2021-04-07,2021-04-07-06:26
AL MAFYAR,9397315,538003357,Marshall Islands,345,54,163922,130441,UK,UK,2021-04-24-07:07,12.0,34.46897 S/25.12565 E,237.1°,18.2 kn,-,2021-04-07,2021-04-06-10:41
AAMIRA,9443401,538003354,Marshall Islands,345,54,163922,130026,SOUTH KOREA,SOUTH KOREA,2021-04-15-21:21,12.1,7.44395 N/76.32508 E,128.4°,19.6 kn,-,2021-04-07,2021-04-04-17:18
BU SAMRA,9388833,538003301,Marshall Islands,345,54,163922,130442,QATAR,Doha,2021-04-06-20:20,9.2,25.93353 N/51.61734 E,182.8°,0.0 kn,Moored,2021-04-07,2021-04-07-03:08
MOZAH,9337755,538003212,Marshall Islands,345,54,163922,130102,COLOMBO,Colombo,2021-04-11-12:00,9.3,3.81982 N/100.11971 E,323.0°,17.2 kn,-,2021-04-07,2021-04-02-18:29
RASHEEDA,9443413,538003362,Marshall Islands,345,54,163922,130208,GB IOG,Grain,2021-04-08-22:01,12.1,48.32453 N/6.01546 W,31.0°,14.9 kn,-,2021-04-07,2021-04-07-06:14
MEKAINES,9397303,538003365,Marshall Islands,345,54,163922,130171,PORT SAID,PortSaid,2021-04-09-12:12,9.4,36.00231 N/16.46281 E,112.3°,15.9 kn,Under way,2021-04-07,2021-04-07-04:15
NOHSHU MARU,9796781,311000579,Bahamas,298,49,149367,97902,JP KWS>US FPO,Freeport,2021-04-19-10:00,9.5,34.95231 S/16.85167 E,287.8°,13.9 kn,-,2021-04-07,2021-03-29-16:49
BUSHU MARU,9796793,311000846,Bahamas,298,49,149367,97955,TANGSHAN,Jintang,2021-04-24-03:00,11.5,8.37489 N/79.4636 W,180.4°,19.8 kn,-,2021-04-07,2021-04-03-00:17
PACIFIC BREEZE,9698123,538007670,Marshall Islands,300,52,144978,92830,TW YAN,YungAn,2021-04-06-18:34,11.9,12.34067 S/130.71548 E,319.6°,9.1 kn,-,2021-04-07,2021-04-06-13:48
DIAMOND GAS SAKURA,9810020,311000771,Bahamas,294,49,144828,87494,PA_CTB>JP_CTA,PA_CTB>JP_CTA,2021-04-07-21:15,11.5,8.38108 N/79.44932 W,180.4°,16.4 kn,-,2021-04-07,2021-03-17-01:17
DIAMOND GAS ROSE,9779238,311000770,Bahamas,294,49,144828,94145,PA BLB,Balboa,2021-04-20-19:00,10.0,34.3931 N/139.41111 E,199.3°,19.8 kn,-,2021-04-07,2021-02-26-15:37
GRACE DAHLIA,9540716,432935000,Japan,300,52,141671,86512,KEPPEL SHIPYARD,KEPPEL SHIPYARD,2021-04-02-04:00,6.0,1.29859 N/103.67634 E,222.0°,0.0 kn,-,2021-04-07,2021-04-03-01:58
ENERGY HORIZON,9483877,432807000,Japan,300,52,141136,87257,>AU DAM,Dampier,2021-04-10-21:00,9.7,34.43659 N/139.54375 E,219.1°,14.1 kn,-,2021-04-07,2021-03-26-11:04
MARVEL HERON,9770440,374022000,Panama,298,49,139050,92659,FOR ORDER,FOR ORDER,2021-04-23-21:00,11.7,8.42554 N/79.46242 W,181.2°,15.8 kn,-,2021-04-07,2021-03-30-00:09
MARVEL CRANE,9770438,563073300,Singapore,298,49,139049,92799,PA BLB,Balboa,2021-04-20-03:00,10.1,34.70372 N/141.13971 E,98.4°,15.2 kn,-,2021-04-07,2021-03-25-12:16
AL RUWAIS,9337951,309904000,Bahamas,315,50,137535,121823,QA RLF,RasLaffan,2021-04-04-21:01,9.4,25.92981 N/51.81076 E,336.2°,1.9 kn,Under way,2021-04-07,2021-04-07-06:36
AL SAFLIYA,9337963,308171000,Bahamas,315,50,137535,121963,RAS LAFFAN,RasLaffan,2021-04-11-13:00,10.1,3.70552 N/100.12842 E,305.0°,16.9 kn,-,2021-04-07,2021-04-03-12:15
AL GHARIYA,9337987,308248000,Bahamas,315,50,137535,121730,SKAW,Skagen,2021-04-16-04:00,12.0,32.3902 N/30.00537 E,291.1°,18.1 kn,Under way,2021-04-07,2021-04-07-05:13
DUHAIL,9337975,309599000,Bahamas,315,50,137535,121639,QA RLF,RasLaffan,2021-04-15-11:00,9.5,2.91327 N/100.92152 E,317.7°,18.2 kn,Under way,2021-04-07,2021-04-07-06:32
AL SHEEHANIYA,9360831,538003364,Marshall Islands,315,50,136980,122006,QATAR,Doha,2021-04-11-10:00,9.4,19.76207 N/38.81452 E,152.5°,14.0 kn,-,2021-04-07,2021-04-04-21:10
AL BAHIYA,9431147,538003349,Marshall Islands,315,50,136980,121957,QA RLF,RasLaffan,2021-04-20-09:00,9.3,7.78079 N/16.6532 W,143.1°,19.5 kn,-,2021-04-07,2021-03-31-18:05
AL KHATTIYA,9431111,538003350,Marshall Islands,315,50,136980,121946,EUROPE,EUROPE,2021-04-28-09:09,12.1,25.86333 N/51.86052 E,9.8°,0.1 kn,At anchor,2021-04-07,2021-04-07-06:10
AL NUAMAN,9431135,538003351,Marshall Islands,315,50,136980,121910,QATAR,Doha,2021-04-22-09:03,9.6,8.91947 N/16.50797 W,140.8°,19.2 kn,-,2021-04-07,2021-04-02-06:52
AL KARAANA,9431123,538003358,Marshall Islands,315,50,136980,122052,SUEZ,AsSuways/SuezPort,2021-04-13-18:00,12.2,24.30924 N/58.11821 E,122.6°,16.1 kn,-,2021-04-07,2021-04-06-09:30
ONAIZA,9397353,538003363,Marshall Islands,315,50,136980,121939,SUEZ,AsSuways/SuezPort,2021-04-05-10:10,12.2,29.96034 N/32.58504 E,14.0°,7.8 kn,Under way,2021-04-07,2021-04-07-06:37
AL SADD,9397341,538003361,Marshall Islands,315,50,136980,121913,QATAR,Doha,2021-04-09-00:00,9.3,12.11684 N/44.3348 E,114.1°,18.1 kn,-,2021-04-07,2021-04-04-18:02
SEISHU MARU,9666558,311000261,Bahamas,288,49,136740,86414,AU_DRW,Darwin,2021-04-12-22:30,9.5,34.40011 N/139.66518 E,174.9°,12.9 kn,-,2021-04-07,2021-04-02-11:59
ESSHU MARU,9666560,311000285,Bahamas,288,49,136740,86455,ASHBURTON AU,ASHBURTON AU,2021-04-09-00:00,10.0,34.39854 N/137.06248 E,181.7°,14.3 kn,-,2021-04-07,2021-03-26-04:14
LNG SATURN,9696149,311000439,Bahamas,288,49,136739,86044,JP ISI,IshikariwanShinko,2021-04-17-22:00,11.8,12.32998 S/130.70495 E,312.9°,10.5 kn,-,2021-04-07,2021-04-04-06:19
LNG JUROJIN,9666998,311000420,Bahamas,288,49,136739,86121,AU GLT,Gladstone,2021-04-21-14:01,9.9,19.97273 N/114.04522 E,141.5°,12.0 kn,-,2021-04-07,2021-04-02-20:01
PACIFIC MIMOSA,9743875,431778000,Japan,288,49,136716,86497,JP KWS,Kawasaki,2021-04-07-00:45,11.2,35.46991 N/139.73874 E,137.8°,0.1 kn,Moored,2021-04-07,2021-04-07-06:36
LNG MARS,9645748,431177000,Japan,288,49,136710,86161,PGCAU-001,PGCAU-001,2021-04-16-21:00,9.7,34.72868 N/123.21742 E,99.9°,10.6 kn,-,2021-04-07,2021-03-22-15:16
FRAIHA,9360817,538003101,Marshall Islands,306,50,136685,121914,RAS LAFFAN,RasLaffan,2021-04-15-12:00,9.5,3.77893 N/100.01108 E,313.0°,16.8 kn,-,2021-04-07,2021-04-07-00:05
MURWAB,9360805,538003100,Marshall Islands,315,50,136685,121843,EG SUZ,AsSuways/SuezPort,2021-04-08-08:30,12.3,22.16095 N/37.72237 E,333.0°,16.1 kn,-,2021-04-07,2021-04-06-18:15
UMM AL AMAD,9360829,538003073,Marshall Islands,315,50,136685,121730,GBMLF,MilfordHaven,2021-04-09-23:01,10.0,49.49708 N/7.1948 W,286.0°,14.9 kn,-,2021-04-07,2021-04-06-01:43
AL AAMRIYA,9338266,538003099,Marshall Islands,315,50,136685,121935,RAS LAFFAN,RasLaffan,2021-04-11-18:00,9.4,20.09806 N/38.84335 E,151.4°,19.8 kn,-,2021-04-07,2021-04-05-10:00
AL ORAIQ,9360790,538003072,Marshall Islands,315,50,136685,122079,RAS LAFFAN,RasLaffan,2021-04-08-21:00,9.1,7.80105 N/76.56777 E,330.0°,19.0 kn,-,2021-04-07,2021-04-04-18:23
AL GHARRAFA,9337717,538002920,Marshall Islands,315,50,136410,106898,TH MAT,MabTapud,2021-04-07-00:01,12.2,12.65293 N/101.15323 E,111.4°,0.6 kn,Under way,2021-04-07,2021-04-07-01:13
TEMBEK,9337731,538002921,Marshall Islands,315,50,136410,106896,>CN GUT,NGUT,2021-04-09-22:22,12.0,1.42719 N/104.49657 E,56.6°,12.4 kn,-,2021-04-07,2021-04-04-05:58
AL GATTARA,9337705,538002917,Marshall Islands,315,50,136410,106898,GB MLF,MilfordHaven,2021-04-14-08:08,12.3,32.45153 N/30.17202 E,291.1°,18.6 kn,Under way,2021-04-07,2021-04-07-04:36
AL HAMLA,9337743,538002922,Marshall Islands,315,50,136410,106983,MT MLA,Valletta,2021-04-10-16:00,9.7,39.53401 N/10.2003 W,180.4°,19.3 kn,Under way,2021-04-07,2021-04-07-06:36
AL UTOURIYA,9360867,538003020,Marshall Islands,315,50,136355,104561,JP HIM>SG SIN,Singapore,2021-04-05-03:03,9.4,1.16224 N/103.72349 E,179.1°,0.0 kn,At anchor,2021-04-07,2021-04-07-06:35
AL SAHLA,9360855,538003019,Marshall Islands,315,50,136355,104666,CN ZOS>SG SIN,Singapore,2021-04-11-01:01,9.1,29.23045 N/122.96015 E,188.7°,11.8 kn,Under way,2021-04-07,2021-04-07-06:32
AL THUMAMA,9360843,538003018,Marshall Islands,315,50,136355,104701,KW MEA>QA RLF,RasLaffan,2021-04-07-17:00,9.3,28.70106 N/49.83964 E,125.0°,19.0 kn,Under way,2021-04-07,2021-04-07-06:36
MESAIMEER,9337729,538003360,Marshall Islands,315,50,136168,107160,POB,POB,2021-04-02-15:15,10.6,25.83803 N/51.89629 E,340.3°,0.1 kn,At anchor,2021-04-07,2021-04-07-06:20
AL REKAYYAT,9397339,538003347,Marshall Islands,315,50,136168,107160,ARABIAN SEA,ARABIAN SEA,2021-04-11-23:20,9.5,19.59051 N/38.57249 E,150.3°,15.0 kn,-,2021-04-07,2021-04-05-14:38
AL KHARAITIYAT,9397327,538003352,Marshall Islands,315,50,136168,107153,SUMMIT LNG FSRU,SUMMIT LNG FSRU,2021-04-07-05:05,11.6,21.44102 N/91.8025 E,355.0°,2.1 kn,Under way,2021-04-07,2021-04-06-23:12
LNG SAKURA,9774135,311000760,Bahamas,300,49,135977,82137,-,-,-,7.0,1.30088 N/103.6742 E,320.0°,0.0 kn,-,2021-04-07,2021-04-07-06:21
SOHSHU MARU,9791212,311000580,Bahamas,300,49,135951,82254,FR IRK,FR IRK,2021-04-21-04:00,11.6,27.40563 N/96.23703 W,123.9°,15.5 kn,-,2021-04-07,2021-04-06-06:41
SHINSHU MARU,9791200,311000845,Bahamas,300,49,135951,82287,CN SCX,CN SCX,2021-04-08-22:00,11.7,15.19897 S/119.84287 E,29.4°,18.4 kn,-,2021-04-07,2021-04-01-04:47
AL KHUWAIR,9360908,311000140,Bahamas,315,50,135848,109555,QA RLF,RasLaffan,2021-04-14-05:00,9.3,27.21441 N/34.30951 E,144.3°,14.9 kn,-,2021-04-07,2021-04-06-10:33
AL KHARSAAH,9360881,309333000,Bahamas,315,50,135848,109484,"PYONGTAEK,KOREA","PYONGTAEK,KOREA",2021-04-28-21:00,9.5,25.77085 N/51.81634 E,187.3°,0.0 kn,At anchor,2021-04-07,2021-04-07-05:25
AL HUWAILA,9360879,309255000,Bahamas,315,50,135848,109503,CN TNG,CN TNG,2021-04-22-22:00,12.0,23.84853 N/59.03719 E,100.7°,1.0 kn,-,2021-04-07,2021-04-06-10:01
AL SHAMAL,9360893,309781000,Bahamas,315,50,135848,109662,MAP TA PHUT,MabTapud,2021-04-16-04:00,12.2,24.60254 N/58.02098 E,149.1°,14.4 kn,-,2021-04-07,2021-04-04-22:46
